condition_id,nbar,F_avg,infidelity,motional_heating_s^-1,motional_dephasing_s^-1,spin_dephasing_s^-1,photon_scattering_s^-1,is_all_noise_zero
rates_9cf49ad0d13c8639,0.01,0.9985917673620378,0.0014082326379621,5.0,36.0,0.0,0.0,False
rates_9cf49ad0d13c8639,1.0,0.9962398687739512,0.0037601312260487,5.0,36.0,0.0,0.0,False
rates_9cf49ad0d13c8639,2.0,0.9932851339229112,0.0067148660770888,5.0,36.0,0.0,0.0,False
rates_9cf49ad0d13c8639,3.0,0.9898123095341712,0.0101876904658286,5.0,36.0,0.0,0.0,False
rates_9cf49ad0d13c8639,4.0,0.9858753316399638,0.0141246683600362,5.0,36.0,0.0,0.0,False
rates_a8953962d6e58e19,0.01,0.9993612673539738,0.0006387326460262,10.0,0.0,0.0,0.0,False
rates_a8953962d6e58e19,1.0,0.9983159369919355,0.0016840630080643,10.0,0.0,0.0,0.0,False
rates_a8953962d6e58e19,2.0,0.996599815222045,0.003400184777955,10.0,0.0,0.0,0.0,False
rates_a8953962d6e58e19,3.0,0.9942832264971004,0.0057167735028995,10.0,0.0,0.0,0.0,False
rates_a8953962d6e58e19,4.0,0.991420072329027,0.008579927670973,10.0,0.0,0.0,0.0,False
rates_ceb4eecb4eaacfc2,0.01,0.9979531128819126,0.0020468871180874,40.0,9.0,0.0,0.0,False
rates_ceb4eecb4eaacfc2,1.0,0.9966042325935206,0.0033957674064793,40.0,9.0,0.0,0.0,False
rates_ceb4eecb4eaacfc2,2.0,0.994599924372078,0.0054000756279218,40.0,9.0,0.0,0.0,False
rates_ceb4eecb4eaacfc2,3.0,0.9920143707056668,0.0079856292943331,40.0,9.0,0.0,0.0,False
rates_ceb4eecb4eaacfc2,4.0,0.9889014655033836,0.0110985344966163,40.0,9.0,0.0,0.0,False
rates_d40c9e1dbffac54a,0.01,0.999556172524066,0.0004438274759339,5.0,0.0,0.0,0.0,False
rates_d40c9e1dbffac54a,1.0,0.9985069648844592,0.0014930351155408,5.0,0.0,0.0,0.0,False
rates_d40c9e1dbffac54a,2.0,0.996786914718944,0.0032130852810559,5.0,0.0,0.0,0.0,False
rates_d40c9e1dbffac54a,3.0,0.9944663660535128,0.0055336339464873,5.0,0.0,0.0,0.0,False
rates_d40c9e1dbffac54a,4.0,0.9915992506553604,0.0084007493446396,5.0,0.0,0.0,0.0,False
rates_e627b957213b2032,0.01,0.997827722940426,0.002172277059574,0.0,72.0,0.0,0.0,False
rates_e627b957213b2032,1.0,0.9941940176929144,0.0058059823070857,0.0,72.0,0.0,0.0,False
rates_e627b957213b2032,2.0,0.990043596861393,0.009956403138607,0.0,72.0,0.0,0.0,False
rates_e627b957213b2032,3.0,0.9854710212072944,0.0145289787927055,0.0,72.0,0.0,0.0,False
rates_e627b957213b2032,4.0,0.9805267050857868,0.0194732949142132,0.0,72.0,0.0,0.0,False
