n_bar,chi_IX_IX_fit,chi_XI_XI_fit
5.492742742742742,0.0030524633049106714,0.0030524590311139647
5.5127527527527524,0.0030601765533626673,0.003060172294897654
5.532762762762762,0.0030678805977307016,0.0030678763548149645
5.552772772772772,0.00307557544950793,0.0030755712223577026
5.572782782782782,0.0030832611201730385,0.0030832569090032116
5.5927927927927925,0.00309093762119025,0.003090933426214373
5.612802802802802,0.0030986049640093216,0.0030986007854396026
5.632812812812812,0.0031062631600655456,0.003106258998112855
5.652822822822822,0.0031139122207797477,0.003113908075653622
5.672832832832833,0.00312155215755829,0.003121548029466931
5.692842842842842,0.0031291829817930664,0.0031291788709433455
5.712852852852852,0.003136804704861509,0.003136800611458969
5.732862862862862,0.0031444173381265815,0.003144413262375437
5.752872872872873,0.003152020892936784,0.003152016835039928
5.772882882882882,0.003159615380626151,0.003159611340785151
5.792892892892892,0.00316720081251425,0.0031671967909293565
5.812902902902902,0.0031747771999061855,0.00317477319677633
5.832912912912912,0.0031823445540925957,0.003182340569615394
5.8529229229229225,0.0031899028863496535,0.0031898989207214067
5.872932932932932,0.0031974522079390648,0.0031974482613547663
5.892942942942942,0.0032049925301080727,0.0032049886027614044
5.912952952952952,0.003212523864089454,0.003212519956172791
5.9329629629629625,0.0032200462211015193,0.0032200423328059345
5.952972972972972,0.003227559612348115,0.003227555743863376
5.972982982982982,0.003235064049018621,0.0032350602005331974
5.992992992992992,0.0032425595422879523,0.003242555713989016
6.013003003003003,0.00325004610331656,0.003250042295389986
6.033013013013012,0.0032575237432504274,0.0032575199558807976
6.053023023023022,0.0032649924732210726,0.0032649887065916787
6.073033033033032,0.0032724523043455513,0.0032724485586383945
6.093043043043043,0.0032799032477264507,0.003279899523122247
6.1130530530530525,0.0032873453144518935,0.003287341611130073
6.133063063063062,0.0032947785155955376,0.0032947748337342486
6.153073073073072,0.0033022028622165752,0.0033021992019926865
6.173083083083083,0.0033096183653597336,0.0033096147269488347
6.1930930930930925,0.003317025036055273,0.0033170214196316787
6.213103103103102,0.0033244228853189905,0.0033244192910557415
6.233113113113112,0.0033318119241522166,0.0033318083522210816
6.253123123123123,0.0033391921635418163,0.003339188614113298
6.273133133133133,0.0033465636144601896,0.0033465600877035204
6.293143143143142,0.0033539262878652712,0.003353922783948421
6.313153153153152,0.0033612801947005303,0.003361276713790205
6.333163163163163,0.003368625345894971,0.0033686218881566173
6.353173173173173,0.0033759617523631317,0.0033759583179609385
6.373183183183182,0.0033832894250050856,0.003383286014101985
6.393193193193192,0.0033906083747064406,0.0033906049874641107
6.413203203203203,0.0033979186123383382,0.003397915248917208
6.433213213213213,0.0034052201487574556,0.0034052168093167035
6.4532232232232225,0.003412512994806006,0.0034125096795035626
6.473233233233232,0.003419797161311734,0.0034197938703042874
6.493243243243242,0.003427072659087921,0.003427069392530913
6.513253253253253,0.0034343394989333827,0.0034343362569810194
6.533263263263263,0.003441597691632469,0.0034415944744377166
6.553273273273272,0.0034488472479550646,0.0034488440556696516
6.573283283283282,0.0034560881786565895,0.003456085011431013
6.593293293293293,0.0034633204944779965,0.0034633173524615227
6.613303303303303,0.0034705442061457766,0.003470541089486438
6.633313313313312,0.003477759324371951,0.0034777562332165583
6.653323323323322,0.0034849658598540786,0.003484962794348215
6.673333333333333,0.0034921638232752513,0.003492160783563278
6.693343343343343,0.003499353225304098,0.0034993502115291553
6.7133533533533525,0.003506534076594778,0.003506531088898789
6.733363363363362,0.0035137063877869906,0.003513703426310661
6.753373373373373,0.0035208701695059637,0.0035208672343887883
6.773383383383383,0.0035280254323624663,0.0035280225237427246
6.7933933933933925,0.003535172186952797,0.0035351693049675615
6.813403403403402,0.003542310443858791,0.0035423075886439268
6.833413413413413,0.0035494402136478174,0.003549437385337984
6.853423423423423,0.003556561506872782,0.0035565587056014362
6.873433433433433,0.0035636743340721226,0.0035636715599715223
6.893443443443442,0.003570778705769813,0.003570775958971015
6.913453453453453,0.003577874632475361,0.003577871913108229
6.933463463463463,0.00358496212468381,0.003584959432877013
6.953473473473473,0.003592041192875737,0.0035920385287567507
