n_bar,chi_XX_XX_fit,chi_XX_XX_ci95_lower,chi_XX_XX_ci95_upper,abs_chi_II_XX_fit,abs_chi_II_XX_ci95_lower,abs_chi_II_XX_ci95_upper,chi_IX_IX_fit,chi_IX_IX_ci95_lower,chi_IX_IX_ci95_upper,chi_XI_XI_fit,chi_XI_XI_ci95_lower,chi_XI_XI_ci95_upper
15.177587587587587,0.07465780786367793,0.07465497982951051,0.07466083534217634,0.19095963677203093,0.19093660525835474,0.19098276435314568,0.005893018263681986,0.005892655167907555,0.005893448573883828,0.005893026552383578,0.005892712660513046,0.005893405286042756
15.197597597597596,0.07479703777069296,0.07479420401434066,0.07480007957809634,0.19112037099892437,0.19109725917090897,0.19114358872260162,0.005897348469153185,0.005896985579412727,0.005897778356681763,0.005897356762661475,0.005897042678115903,0.005897737528489272
15.217607607607606,0.07493629389386836,0.07493345749630458,0.07493934034491817,0.1912809441509839,0.19125775783873852,0.19130425775896912,0.005901673342427504,0.005901310674117142,0.005902102795601555,0.005901681640567001,0.005901367399179164,0.005902064419750495
15.237617617617616,0.07507557603908296,0.07507273049625769,0.07507862674577385,0.19144135646200006,0.19141821375395046,0.19146480802637397,0.005905992887996859,0.0059056304566149,0.005906422052210457,0.005906001190591793,0.005905686799938626,0.005906385955403363
15.257627627627626,0.07521488401290387,0.07521204853923719,0.07521793875619036,0.19160160816633762,0.19157845481021915,0.19162519629533417,0.0059103071103386974,0.005909944931485889,0.00591073692124752,0.005910315417213029,0.005910000167348634,0.005910702137626604
15.277637637637635,0.07535421762258655,0.07535139304692456,0.07535727627764184,0.19176169949893557,0.19173850730656825,0.19178533853050603,0.005914616013916005,0.005914253658164034,0.005915046452730746,0.0059146243248934215,0.0059143081973926205,0.0059150129813715716
15.297647647647647,0.07549357667607487,0.07549072953921923,0.07549663911693782,0.19192163069530707,0.1918984431990559,0.19194531728914604,0.005918919603177298,0.005918556551938479,0.005919350563204923,0.00591892791808122,0.005918610944232837,0.005919318490875335
15.317657657657657,0.07563296098200091,0.07563009186991582,0.07563602708157277,0.19208140199153936,0.1920582195300541,0.19210511422768062,0.005923217882556632,0.005922854153031734,0.005923648086978858,0.0059232262012102075,0.005922908395875182,0.005923618670359879
15.337667667667667,0.07577237034968519,0.075769494993178,0.07577543997972616,0.19224101362429405,0.19221783653730515,0.1922647184230542,0.005927510856473593,0.0059271464958251694,0.005927940286070044,0.005927519178699714,0.0059272005568601766,0.005927913524032096
15.357677677677676,0.07591180458913654,0.07590892338245592,0.07591487762026243,0.19240046583080686,0.19237729445912635,0.19242413104674755,0.005931798529333307,0.005931433554532748,0.005932229042889584,0.0059318068549545945,0.0059314874330298325,0.005932203056083798
15.377687687687686,0.07605126351105208,0.07604837664931322,0.07605433981273092,0.1925597588488877,0.19253659353440955,0.19258347701400122,0.005936080905526427,0.0059357153337045105,0.0059365129815760085,0.0059360892343652515,0.005935769030270747,0.005936487270691699
15.397697697697696,0.07619074692681735,0.07618785444764554,0.07619383487456437,0.19271889291692074,0.19269573409835514,0.19274266208824206,0.005940357989429147,0.005939992847143945,0.0059407907353574525,0.005940366321307614,0.005940045350068087,0.005940766172017432
15.417707707707706,0.07633025464850618,0.076327356590092,0.07633334502708998,0.19287786827386413,0.1928547184980551,0.19290165576611323,0.0059446297854031955,0.005944265292707678,0.005945062612750217,0.005944638120143154,0.0059443163969022965,0.005945039764207536
15.437717717717716,0.0764697864888807,0.0764668828899821,0.07647287921116122,0.19303668515925054,0.19301354476102858,0.1930604844339419,0.005948896297795827,0.005948532052960505,0.005949329182395839,0.00594890463521888,0.005948582175239646,0.005949306579344336
15.457727727727725,0.07660934226139146,0.07660643316133572,0.07661243723976212,0.1931953438131866,0.19317221312829844,0.19321915189407265,0.005953157530939846,0.005952793023229498,0.0059535904385509646,0.005953165870867337,0.005952842689532241,0.005953567197536461
15.477737737737737,0.07674892178017731,0.07674601097656053,0.07675201892656434,0.1933538444763532,0.1933307238414621,0.19337764180184966,0.005957413489153578,0.005957048724516272,0.005957846401660447,0.005957421831406608,0.005957097944218024,0.0059578225174268164
15.497747747747747,0.0768885248600654,0.07688561288390958,0.07689162408592712,0.19351218739000536,0.193489077142691,0.1935359285496861,0.005961664176740885,0.005961299179308259,0.005962097081754875,0.005961672521140305,0.005961347943720755,0.0059620725106505745
15.517757757757757,0.07702815131657124,0.07702523832422123,0.07703125253289726,0.19367037279597243,0.1936472732747309,0.19369405630541847,0.005965909597991172,0.005965544380770541,0.005966342483052528,0.005965917944357591,0.005965592692450033,0.0059663192962603005
15.537767767767766,0.07716780096589872,0.0771648790966714,0.07717091540633211,0.1938284009366579,0.193805312480902,0.1938520254911972,0.005970149757179372,0.005969784325908368,0.005970582444815552,0.00597015810533315,0.00596983219480129,0.00597056169542643
15.557777777777776,0.07730747362494,0.0773045406086772,0.07731060124923896,0.19398627205503924,0.19396319500509834,0.1940099392389132,0.005974384658565951,0.0059740190189973815,0.005974816753206932,0.005974393008327217,0.005974065557689171,0.005974796046474822
15.577787787787786,0.07744716911127565,0.07744422712001024,0.07745030980884866,0.19414398639466857,0.19412092109178855,0.19416763601894163,0.0059786143063969175,0.005978248464298739,0.005979045795114269,0.005978622657585555,0.005978295377414594,0.005979025052596103
15.597797797797796,0.07758688724317453,0.07758393977242575,0.07759004090196005,0.1943015441996717,0.19427849098601527,0.1943252149588397,0.005982838704903805,0.0059824730497996526,0.005983269574690876,0.005982847057339468,0.005982519267328687,0.005983248788399722
15.617807807807806,0.07772662783959378,0.07772367493240144,0.07772977028578673,0.19445894571474903,0.19443590493339552,0.19448258930992335,0.00598705785830369,0.005986692736740457,0.0059874880960753985,0.005987066211805794,0.00598673782783877,0.00598746725800779
15.637817817817817,0.07786639072017906,0.07786343242017758,0.07786952350904973,0.19461619118517487,0.1945931319389855,0.19463980411062623,0.005991271770799177,0.005990907620746895,0.005991701363391812,0.0059912801251869085,0.005990951514374221,0.0059916804655278065
15.657827827827827,0.07800617570526414,0.07800321231689797,0.07800932015413012,0.19477328085679796,0.19475013403765506,0.19479686181735392,0.00599548044657841,0.005995118070976229,0.005995909866413889,0.005995488801670724,0.005995159984178257,0.005995889218811069
15.677837837837837,0.0781459826158713,0.07814301437333093,0.0781491385921754,0.19493021497604102,0.19490698146501656,0.19495385713689198,0.005999683889815063,0.005999323318200674,0.006000113925461695,0.005999692245430692,0.0059993632300487905,0.0060000939581239966
15.697847847847846,0.07828581127371104,0.07828284896671801,0.07828897815889235,0.19508699378990113,0.19506364182855718,0.19511074522391697,0.006003882104668348,0.0060035233667444995,0.006004312754826456,0.006003890460625801,0.0060035612607467785,0.0060042934567650025
15.717857857857856,0.07842566150118227,0.07842270655183801,0.07842883911697202,0.19524361754594943,0.19522014725882691,0.1952674202754793,0.006008075095283014,0.006007716593289818,0.006008506358689792,0.00600808345140057,0.006007754073065227,0.006008487718745707
15.737867867867866,0.07856553312137227,0.07856258563223194,0.07856871746467915,0.19540008649233132,0.19537649911529445,0.19542387937149916,0.0060122628657893395,0.006011904124297608,0.006012694741219066,0.006012271221885064,0.00601194167115162,0.006012676748062867
15.757877877877876,0.07870542595805655,0.07870248603166913,0.0787086023549892,0.19555640087776643,0.19553269766183917,0.19558018136809013,0.00601644542030314,0.006016086453242904,0.006016877248638738,0.006016453776194874,0.006016124059138955,0.006016859702713895
15.777887887887886,0.07884533983569897,0.07884240757460569,0.0788485081584495,0.19571256095154857,0.19568879797995184,0.1957363275065451,0.006020622762925766,0.006020263584336231,0.006021054433357305,0.00602063111843114,0.006020301241145756,0.006021036826047716
15.797897897897897,0.07898527457945184,0.07898235008618465,0.07898843451125974,0.1958685669635456,0.19584481457605293,0.19589231802640977,0.0060247948977441,0.0060244350851133156,0.006025226367280963,0.0060248032526805315,0.00602447322127606,0.006025208722518184
15.817907907907907,0.07912523001515573,0.07912231339223587,0.07912838953867847,0.19602441916419974,0.1960005964263319,0.19604815316777943,0.006028961828830562,0.006028602232360547,0.006029393083835604,0.006028970183015254,0.006028640003619429,0.00602937539607825
15.837917917917917,0.07926520596933952,0.07926229731927607,0.07926837453139073,0.19618011780452743,0.19615621256754015,0.1962038331712991,0.006033123560243104,0.006032763781578789,0.00603355430863401,0.006033131913493053,0.00603280159225094,0.006033536850666128
15.857927927927927,0.07940520226922045,0.07940229716125374,0.07940837975014706,0.1963356631361192,0.19631167962377527,0.19635935827816328,0.006037280096025218,0.0060369203825064435,0.006037710079027,0.006037288448157212,0.006036958123069906,0.00603769559281052
15.877937937937936,0.07954521874270414,0.07954230830822209,0.07954840226869148,0.19649105541113965,0.19646699495080158,0.19651480503332952,0.006041431440205925,0.006041072630580991,0.0060418606400134845,0.006041439791036545,0.006041109190201697,0.006041849960207056
15.897947947947946,0.0796852552183845,0.07968233367682036,0.07968843120072035,0.19664629488232788,0.19662220922627116,0.19667002045530094,0.006045577596799785,0.006045219763584033,0.006046005995505885,0.006045585946145414,0.006045255217448579,0.006045999130033256
15.917957957957956,0.07982531152554377,0.0798223791883037,0.07982847974833908,0.19680138180299697,0.1967773267604039,0.19682506830555205,0.006049718569806885,0.0060493616296263975,0.00605014801884966,0.0060497269174837045,0.006049396062792718,0.006050141714303219
15.937967967967966,0.0799653874941526,0.07996244479931348,0.07996854774004758,0.1969563164270343,0.19693229301237772,0.19697996107201796,0.0060538543632128565,0.006053497647502321,0.006054283727187291,0.006053862709036846,0.006053532036147064,0.0060542764460965615
15.957977977977977,0.08010548295486991,0.08010253026511928,0.08010864551010578,0.19711109900890128,0.19708710824220363,0.19713470079332304,0.0060579849809888585,0.006057628320383465,0.006058413812225833,0.006057993324775808,0.006057662243513259,0.006058405965117691
15.977987987987987,0.08024559773904293,0.08024263537908567,0.0802487641396243,0.19726572980363372,0.19724177271047846,0.19728928771884388,0.00606211042709159,0.006061753845768742,0.006062538710296693,0.006062118768657091,0.006061787564104415,0.006062530285965128
15.997997997997997,0.08038573167870726,0.08038275997668035,0.08038890187825452,0.19742020906684143,0.19739620839981312,0.19744377254078135,0.006066230705463278,0.006065874227801214,0.006066658425281118,0.006066239044622732,0.006065907745268797,0.00606664941243801
16.018008008008007,0.08052588460658686,0.08052290389406991,0.08052905855829016,0.19757453705470862,0.1975504818087382,0.19759806157337123,0.0060703458200316905,0.006069989470610052,0.006070772961045829,0.006070354156600309,0.0060700227686141745,0.006070763348320707
