n_bar,chi_XX_XX_fit,chi_II_XX_abs_fit
6.473233233233232,0.020301552518033904,0.10341280468691458
6.493243243243242,0.02040146148980726,0.1036577198562358
6.513253253253253,0.020501546395465857,0.10390242692254463
6.533263263263263,0.020601806741461882,0.10414692587518179
6.553273273273272,0.020702242034935845,0.10439121670403234
6.573283283283282,0.02080285178371662,0.10463529939952539
6.593293293293293,0.020903635496321384,0.10487917395263438
6.613303303303303,0.02100459268195566,0.10512284035487689
6.633313313313312,0.02110572285051333,0.10536629859831464
6.653323323323322,0.021207025512576593,0.10560954867555368
6.673333333333333,0.021308500179415994,0.10585259057974418
6.693343343343343,0.021410146362990396,0.10609542430458051
6.7133533533533525,0.021511963575947028,0.10633804984430124
6.733363363363362,0.021613951331621438,0.10658046719368922
6.753373373373373,0.02171610914403752,0.10682267634807137
6.773383383383383,0.021818436527907478,0.10706467730331891
6.7933933933933925,0.021920932998631903,0.10730647005584722
6.813403403403402,0.02202359807229968,0.10754805460261588
6.833413413413413,0.02212643126568805,0.10778943094112871
6.853423423423423,0.022229432096262585,0.10803059906943366
6.873433433433433,0.022332600082177193,0.10827155898612295
6.893443443443442,0.02243593474227413,0.10851231069033296
6.913453453453453,0.02253943559608398,0.10875285418174427
6.933463463463463,0.02264310216382566,0.10899318946058169
6.953473473473473,0.022746933966406428,0.10923331652761421
6.9734834834834825,0.022850930525421892,0.10947323538415502
6.993493493493493,0.022955091363155978,0.10971294603206153
7.013503503503503,0.023059416002580952,0.1099524484737353
7.033513513513513,0.023163903967357426,0.11019174271212215
7.0535235235235225,0.023268554781834348,0.11043082875071207
7.073533533533532,0.023373367971048994,0.11066970659353925
7.093543543543543,0.02347834306072699,0.11090837624518213
7.113553553553553,0.02358347957728229,0.11114683771076325
7.133563563563563,0.023688777047817175,0.11138509099594943
7.153573573573572,0.023794235000122288,0.11162313610695167
7.173583583583583,0.0238998529626766,0.11186097305052518
7.193593593593593,0.024005630464647397,0.11209860183396934
7.213603603603603,0.024111567035890333,0.11233602246512779
7.233613613613612,0.02421766220694939,0.11257323495238827
7.253623623623623,0.02432391550905687,0.11281023930468285
7.273633633633633,0.024430326474133436,0.11304703553148765
7.293643643643643,0.024536894634788073,0.11328362364282316
7.3136536536536525,0.0246436195243181,0.11352000364925392
7.333663663663663,0.0247505006767092,0.11375617556188877
7.353673673673673,0.024857537626635354,0.11399213939238069
7.373683683683683,0.02496472990945891,0.11422789515292692
7.393693693693693,0.02507207706123054,0.11446344285626882
7.413703703703703,0.02517957861868926,0.11469878251569204
7.433713713713713,0.025287234119262404,0.1149339141450264
7.453723723723723,0.025395043101065676,0.11516883775864585
7.473733733733733,0.025503005102903084,0.11540355337146864
7.493743743743743,0.025611119664267004,0.11563806099895717
7.513753753753753,0.025719386325338125,0.115872360657118
7.533763763763763,0.025827804626985463,0.11610645236250206
7.553773773773773,0.025936374110766422,0.11634033613220425
7.573783783783783,0.026045094318926692,0.11657401198386382
7.593793793793793,0.02615396479440031,0.1168074799356642
7.613803803803803,0.02626298508080967,0.11704074000633297
7.633813813813813,0.0263721547224655,0.11727379221514196
7.653823823823823,0.026481473264366836,0.1175066365819072
7.673833833833833,0.02659094025220109,0.11773927312698887
7.693843843843843,0.026700555232343975,0.11797170187129141
7.713853853853853,0.026810317751859568,0.11820392283626344
7.733863863863863,0.02692022735850027,0.11843593604389777
