condition_id,nbar,pauli,pauli_weight,mode_class,h_rad_per_gate,gamma_per_gate
rates_0e752ad71c6095d9,1.0,YX,2,correlated,7.545687379678286e-09,1.140513913833966e-09
rates_0e752ad71c6095d9,1.0,YY,2,correlated,5.760050882567705e-09,9.03886005655948e-10
rates_0e752ad71c6095d9,1.0,YZ,2,correlated,4.577559387395964e-11,2.0378879254751438e-09
rates_0e752ad71c6095d9,1.0,ZI,1,local,2.8383978118879324e-10,5.640939492517039e-09
rates_0e752ad71c6095d9,1.0,ZX,2,correlated,3.0283494651704234e-09,6.618217528913187e-09
rates_0e752ad71c6095d9,1.0,ZY,2,correlated,1.3036028618731584e-09,4.583809842365466e-09
rates_0e752ad71c6095d9,1.0,ZZ,2,correlated,-5.214933458361933e-16,5.1119565709373954e-09
rates_0e752ad71c6095d9,2.0,IX,1,local,3.586195085121531e-08,0.0012061429125472198
rates_0e752ad71c6095d9,2.0,IY,1,local,-7.14457074131281e-10,4.894914603409037e-09
rates_0e752ad71c6095d9,2.0,IZ,1,local,-3.7325200112433883e-10,1.3417177582504967e-08
rates_0e752ad71c6095d9,2.0,XI,1,local,3.6345544356711495e-08,0.0012061445179346606
rates_0e752ad71c6095d9,2.0,XX,2,correlated,0.04385811348621815,0.0013378006034731034
rates_0e752ad71c6095d9,2.0,XY,2,correlated,3.0480440193441697e-09,1.621876322522133e-08
rates_0e752ad71c6095d9,2.0,XZ,2,correlated,1.9835082305202868e-09,6.043376946049146e-09
rates_0e752ad71c6095d9,2.0,YI,1,local,5.629287404551758e-10,1.2165907207360058e-08
rates_0e752ad71c6095d9,2.0,YX,2,correlated,6.537387622551435e-10,7.00258271578132e-09
rates_0e752ad71c6095d9,2.0,YY,2,correlated,5.182996942381849e-09,3.10994959424329e-10
rates_0e752ad71c6095d9,2.0,YZ,2,correlated,-3.5942412972700693e-09,5.232780805731185e-10
rates_0e752ad71c6095d9,2.0,ZI,1,local,3.201695256212325e-10,6.223638047742882e-09
rates_0e752ad71c6095d9,2.0,ZX,2,correlated,2.3915474186731644e-09,1.36336727093447e-08
rates_0e752ad71c6095d9,2.0,ZY,2,correlated,-2.3950712407473273e-09,5.257652691036466e-10
rates_0e752ad71c6095d9,2.0,ZZ,2,correlated,1.717119408179492e-17,7.308404454536843e-10
rates_0e752ad71c6095d9,3.0,IX,1,local,-8.403661558136715e-09,0.0012759909747396912
rates_0e752ad71c6095d9,3.0,IY,1,local,-1.1113845394247515e-08,8.05179230822556e-09
rates_0e752ad71c6095d9,3.0,IZ,1,local,6.059429770117768e-10,1.4984888438399784e-08
rates_0e752ad71c6095d9,3.0,XI,1,local,5.875935724998711e-09,0.0012760161148294357
rates_0e752ad71c6095d9,3.0,XX,2,correlated,0.058565133973040855,0.0025861481188964525
rates_0e752ad71c6095d9,3.0,XY,2,correlated,1.055722375779246e-08,1.0539213442744113e-08
rates_0e752ad71c6095d9,3.0,XZ,2,correlated,8.677792032859692e-09,1.4043546796670809e-08
rates_0e752ad71c6095d9,3.0,YI,1,local,8.366899389862899e-09,9.712923195513727e-09
rates_0e752ad71c6095d9,3.0,YX,2,correlated,-1.3574030223812397e-08,1.3286768367178417e-08
rates_0e752ad71c6095d9,3.0,YY,2,correlated,1.9050252942541407e-08,2.282966507197034e-08
rates_0e752ad71c6095d9,3.0,YZ,2,correlated,-3.0821212430942137e-09,2.1287086515886738e-08
rates_0e752ad71c6095d9,3.0,ZI,1,local,-7.019065228443975e-10,1.5119100140895004e-08
rates_0e752ad71c6095d9,3.0,ZX,2,correlated,1.02862690562178e-08,8.329492691503543e-09
rates_0e752ad71c6095d9,3.0,ZY,2,correlated,9.410516335571248e-09,1.4750455316093574e-08
rates_0e752ad71c6095d9,3.0,ZZ,2,correlated,1.0074798946637332e-15,2.199626590636619e-08
rates_0e752ad71c6095d9,4.0,IX,1,local,-4.218692567503829e-09,0.0013381542030922939
rates_0e752ad71c6095d9,4.0,IY,1,local,-1.92277630328727e-09,8.371413172113024e-09
rates_0e752ad71c6095d9,4.0,IZ,1,local,9.263210634786022e-10,1.2273688771136508e-08
rates_0e752ad71c6095d9,4.0,XI,1,local,9.068363839406928e-09,0.001338149033171967
rates_0e752ad71c6095d9,4.0,XX,2,correlated,0.07298096807905753,0.004168557094085854
rates_0e752ad71c6095d9,4.0,XY,2,correlated,-1.820784081702196e-09,8.605556186050412e-09
rates_0e752ad71c6095d9,4.0,XZ,2,correlated,1.8560600468264975e-09,2.688095915206589e-09
rates_0e752ad71c6095d9,4.0,YI,1,local,4.406005899313959e-10,5.054403951707198e-09
rates_0e752ad71c6095d9,4.0,YX,2,correlated,3.9388340390904623e-10,2.308344097140015e-09
rates_0e752ad71c6095d9,4.0,YY,2,correlated,6.115430778924314e-10,9.119599696731526e-09
rates_0e752ad71c6095d9,4.0,YZ,2,correlated,3.3857457365429995e-09,6.855724842513489e-09
rates_0e752ad71c6095d9,4.0,ZI,1,local,5.488241261792398e-10,5.3664387549185515e-09
rates_0e752ad71c6095d9,4.0,ZX,2,correlated,5.324758391790944e-10,2.964220440502055e-09
rates_0e752ad71c6095d9,4.0,ZY,2,correlated,2.697464984350953e-09,7.405181624654233e-09
rates_0e752ad71c6095d9,4.0,ZZ,2,correlated,-5.620067582960928e-16,1.0478285979772378e-08
rates_10ba39339e235ff4,0.01,IX,1,local,-9.794904194375857e-09,0.0005528052790292502
rates_10ba39339e235ff4,0.01,IY,1,local,3.449883576136734e-09,9.820635272919965e-05
rates_10ba39339e235ff4,0.01,IZ,1,local,5.038699978307635e-12,0.00022682769665347387
rates_10ba39339e235ff4,0.01,XI,1,local,-1.2031114231627871e-08,0.0005528048727116546
rates_10ba39339e235ff4,0.01,XX,2,correlated,0.013720982804016749,0.00032497020143067986
rates_10ba39339e235ff4,0.01,XY,2,correlated,5.354948885353925e-09,0.00022676832914857268
rates_10ba39339e235ff4,0.01,XZ,2,correlated,4.15651579434845e-09,9.818955896496716e-05
rates_10ba39339e235ff4,0.01,YI,1,local,7.767392376595729e-09,9.820588741153897e-05
rates_10ba39339e235ff4,0.01,YX,2,correlated,8.728695460395225e-10,0.0002267682338964993
rates_10ba39339e235ff4,0.01,YY,2,correlated,8.274981353663268e-09,0.0
rates_10ba39339e235ff4,0.01,YZ,2,correlated,-4.126916485172844e-09,0.0
rates_10ba39339e235ff4,0.01,ZI,1,local,1.1347657132488729e-10,0.0002268276456290704
rates_10ba39339e235ff4,0.01,ZX,2,correlated,4.338217819307291e-09,9.819017055949852e-05
rates_10ba39339e235ff4,0.01,ZY,2,correlated,5.345870755877393e-10,0.0
rates_10ba39339e235ff4,0.01,ZZ,2,correlated,6.014753173250403e-17,2.4187510008386818e-08
rates_10ba39339e235ff4,1.0,IX,1,local,1.518368255123017e-08,0.0014896651759877474
rates_10ba39339e235ff4,1.0,IY,1,local,2.077037639694248e-09,0.0001281817955289302
rates_10ba39339e235ff4,1.0,IZ,1,local,1.190780268187925e-10,0.00019685886413845679
rates_10ba39339e235ff4,1.0,XI,1,local,3.591637420304668e-09,0.001489661564162079
rates_10ba39339e235ff4,1.0,XX,2,correlated,0.028758579748842737,0.0007731843003064168
rates_10ba39339e235ff4,1.0,XY,2,correlated,-3.0936594597544497e-09,0.0001968105056284999
rates_10ba39339e235ff4,1.0,XZ,2,correlated,1.249207473237617e-10,0.0001281443335247918
rates_10ba39339e235ff4,1.0,YI,1,local,-2.2112619062434326e-09,0.00012817723244937525
rates_10ba39339e235ff4,1.0,YX,2,correlated,1.6114078253525422e-09,0.0001968105152660688
rates_10ba39339e235ff4,1.0,YY,2,correlated,-4.434008977430854e-10,0.0
