condition_id,nbar,motional_heating_s^-1,motional_dephasing_s^-1,spin_dephasing_s^-1,photon_scattering_s^-1,average_infidelity,abs_chi_II_XX,chi_XX_XX,generator_frobenius_norm,hamiltonian_fit_frobenius_norm,pauli_dissipator_fit_frobenius_norm,unmodeled_generator_frobenius_norm,generator_reconstruction_error,generator_imaginary_frobenius_norm,gamma_nnls_residual,cptp_projection_iterations,cptp_min_choi_eigenvalue,cptp_tp_frobenius_error,cptp_relative_final_step
rates_17830da3b3822d7d,4.0,5.0,72.0,0.0,0.0,0.019647154563253014,0.07039544085834608,0.009906934701738082,0.42201728044768044,0.407352098036838,0.09227803273520785,0.060395512217070714,6.0369323684524226e-15,1.6826938488992285e-15,0.06039551221684431,25.0,-9.980798037221981e-12,1.5862259036173474e-16,3.359054664947077e-12
rates_1956bc5693502c6b,0.01,0.0,18.0,0.0,4.0,0.0012911532784018577,0.013707948936369545,0.0003519438779579497,0.07793212604789886,0.07766074606026097,0.006082871265383364,0.0022854909490147403,4.741638843135219e-15,3.0211466588764357e-15,0.002285490848820826,5.0,-1.9764666908761943e-12,2.5579027589336378e-18,4.180248651630321e-12
rates_1956bc5693502c6b,1.0,0.0,18.0,0.0,4.0,0.0029980921815602637,0.028691695801212176,0.0014419664142510348,0.16354419568648776,0.16290714512684554,0.012892520989920084,0.006461339790287302,6.943140866657378e-15,2.388978389999166e-15,0.006461339785234959,1.0,3.144090115411104e-08,2.4830528514451966e-16,1.2119148427210859e-15
rates_1956bc5693502c6b,2.0,0.0,18.0,0.0,4.0,0.005343798215614282,0.0434215135985946,0.0033815465294421746,0.24853275214701023,0.24738180318467473,0.021477187008249757,0.01046435765246505,3.901374799893971e-15,3.001672292246764e-15,0.010464357636803723,1.0,4.084905607228131e-08,1.1103678613125978e-16,6.568746200086427e-16
rates_1956bc5693502c6b,3.0,0.0,18.0,0.0,4.0,0.008250186289754336,0.05770035042385332,0.006083434753999122,0.3320011002498457,0.3301801341308124,0.03167238647954523,0.014236204801741191,5.306155974703823e-15,2.290849953816548e-15,0.014236204791924532,5.0,-3.519055247460721e-12,1.5700955700156222e-16,7.536117946443478e-12
rates_1956bc5693502c6b,4.0,0.0,18.0,0.0,4.0,0.011662820652152918,0.07149071093238944,0.00947096748581094,0.41392606662883863,0.4112582156355571,0.04340910785484774,0.017807809026534328,6.0610178464525765e-15,2.1364191338828052e-15,0.01780780901605704,5.0,-9.16404793731134e-13,2.4917520707431736e-16,1.8746594663606305e-12
rates_2524745c632f6db4,0.01,10.0,18.0,0.0,0.0,0.0011215644539630532,0.013725785990210489,0.0003528936347086715,0.07802965536314452,0.07770489701068731,0.005735373915854293,0.004204947406915048,5.2662426693427815e-15,1.9371434600396603e-15,0.004204947404406597,27.0,-8.013987711429464e-12,2.9948627036937156e-18,2.47031825531568e-12
rates_2524745c632f6db4,1.0,10.0,18.0,0.0,0.0,0.0028211928608718575,0.028713676482959957,0.0014442904227976272,0.1636514114046153,0.16295265342400972,0.012580527499420579,0.008363463674430931,5.246123793208187e-15,2.3146882016227532e-15,0.00836346367234584,23.0,-8.615709238643947e-12,2.221625648197983e-16,3.1146979098235287e-12
rates_2524745c632f6db4,2.0,10.0,18.0,0.0,0.0,0.005160009055130033,0.0434474748964498,0.003385425914240263,0.24863401889063894,0.24742984552257086,0.0211003631165599,0.012333757364913567,5.3985545180323104e-15,2.2192965144763196e-15,0.012333757358687763,34.0,-8.647168968867054e-12,1.1112742672855772e-16,2.7746192928566723e-12
rates_2524745c632f6db4,3.0,10.0,18.0,0.0,0.0,0.008059922331504233,0.05773048760406916,0.006088995412323012,0.332093742138272,0.3302317714380981,0.03122393134230063,0.016071615095815665,5.66229333058603e-15,2.116891275556592e-15,0.01607161509293218,28.0,-9.800618489367738e-12,1.1231835312398264e-16,3.4206398647696565e-12
rates_2524745c632f6db4,4.0,10.0,18.0,0.0,0.0,0.011466602195422127,0.07152525503508673,0.009478508493691135,0.41400993395126356,0.4113144821127948,0.04289626259790871,0.019609509676279002,5.554200398766766e-15,2.1843738749699867e-15,0.01960950967400693,25.0,-8.546199390708977e-12,3.140194580701832e-16,3.4750956124729396e-12
rates_2d87d3caf1b8c595,0.01,0.0,36.0,13.333333333333334,0.0,0.0022776697603026363,0.01368752736783973,0.000512672444551419,0.0785428358323573,0.07761778686967691,0.011298437483660292,0.004098967244301823,5.302657613918258e-15,1.858269043892135e-15,0.004098967172384895,1.0,2.146070975690822e-07,1.570095863738369e-16,5.708378532731672e-16
rates_2d87d3caf1b8c595,1.0,0.0,36.0,13.333333333333334,0.0,0.00463112122381002,0.02861341047790226,0.0015977087836974613,0.16454941222465852,0.1626831396190737,0.021849592995765013,0.011545580673182636,5.2779255474638376e-15,2.6368332460957034e-15,0.011545580667673519,1.0,3.269651618661016e-07,2.221060670134469e-16,7.308991607154852e-16
rates_2d87d3caf1b8c595,2.0,0.0,36.0,13.333333333333334,0.0,0.007586527414437417,0.04324416700176054,0.0035286082049858485,0.24989988435905752,0.24686791231603106,0.03400362895477715,0.018706664301808482,5.370374256469955e-15,2.402057204707567e-15,0.018706664292731823,1.0,2.8296575305517715e-07,1.1118555793302232e-16,6.088058535058837e-16
