pair_id,source_x,source_y,multiplier_x,multiplier_y,strength_x_s^-1,strength_y_s^-1,condition_id,x_only_condition_id,y_only_condition_id,zero_condition_id,nbar,pauli,pauli_weight,mode_class,grid_h_rad_per_gate,grid_gamma_per_gate,x_only_h_rad_per_gate,x_only_gamma_per_gate,y_only_h_rad_per_gate,y_only_gamma_per_gate,zero_h_rad_per_gate,zero_gamma_per_gate,interaction_gamma_per_gate,interaction_h_rad_per_gate
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.5,0.0,9.0,0.0,rates_70251d48c79bc447,rates_70251d48c79bc447,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,XZ,2,correlated,-7.641750597892185e-12,1.1542253156815104e-09,-7.641750597892185e-12,1.1542253156815104e-09,-1.7976886043286459e-09,2.0048041848635705e-09,-1.7976886043286459e-09,2.0048041848635705e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.5,0.0,9.0,0.0,rates_70251d48c79bc447,rates_70251d48c79bc447,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,YI,1,local,-7.852710002400503e-10,1.510295993829863e-09,-7.852710002400503e-10,1.510295993829863e-09,-8.599115536275106e-11,2.5204308967882616e-09,-8.599115536275106e-11,2.5204308967882616e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.5,0.0,9.0,0.0,rates_70251d48c79bc447,rates_70251d48c79bc447,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,YX,2,correlated,4.9043928952560935e-09,4.051564067545526e-09,4.9043928952560935e-09,4.051564067545526e-09,3.665353676914303e-09,3.442685782843502e-09,3.665353676914303e-09,3.442685782843502e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.5,0.0,9.0,0.0,rates_70251d48c79bc447,rates_70251d48c79bc447,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,YY,2,correlated,1.566702802167834e-11,4.206965771975184e-09,1.566702802167834e-11,4.206965771975184e-09,-3.811210581619316e-09,4.6139155065648324e-09,-3.811210581619316e-09,4.6139155065648324e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.5,0.0,9.0,0.0,rates_70251d48c79bc447,rates_70251d48c79bc447,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,YZ,2,correlated,7.650259568351808e-10,2.4874289548486553e-09,7.650259568351808e-10,2.4874289548486553e-09,-1.014829336513181e-09,2.6957229913134252e-09,-1.014829336513181e-09,2.6957229913134252e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.5,0.0,9.0,0.0,rates_70251d48c79bc447,rates_70251d48c79bc447,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,ZI,1,local,6.20996509039319e-11,5.4150465645637695e-09,6.20996509039319e-11,5.4150465645637695e-09,1.3512532420043294e-10,2.4683907325293853e-09,1.3512532420043294e-10,2.4683907325293853e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.5,0.0,9.0,0.0,rates_70251d48c79bc447,rates_70251d48c79bc447,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,ZX,2,correlated,1.7694221419353325e-11,4.2056476139097285e-09,1.7694221419353325e-11,4.2056476139097285e-09,-1.902926413529346e-09,2.0728728623644623e-09,-1.902926413529346e-09,2.0728728623644623e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.5,0.0,9.0,0.0,rates_70251d48c79bc447,rates_70251d48c79bc447,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,ZY,2,correlated,-1.0291193290623916e-09,5.166441584154395e-09,-1.0291193290623916e-09,5.166441584154395e-09,-5.381032890619856e-09,3.2122464424964876e-09,-5.381032890619856e-09,3.2122464424964876e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.5,0.0,9.0,0.0,rates_70251d48c79bc447,rates_70251d48c79bc447,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,ZZ,2,correlated,-1.4686910735592027e-16,4.53301255264201e-09,-1.4686910735592027e-16,4.53301255264201e-09,2.6700504001365136e-15,3.3467925419553403e-09,2.6700504001365136e-15,3.3467925419553403e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,1.0,0.0,18.0,0.0,rates_65e4c1ad12cf1435,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,IX,1,local,-5.658164211242201e-09,0.00028167787021237355,-5.658164211242201e-09,0.00028167787021237355,-9.014333959039476e-10,5.9973929743028704e-05,-9.014333959039476e-10,5.9973929743028704e-05,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,1.0,0.0,18.0,0.0,rates_65e4c1ad12cf1435,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,IY,1,local,2.041387953832427e-09,2.6066230557506237e-09,2.041387953832427e-09,2.6066230557506237e-09,4.599572995398083e-09,2.014386934603056e-09,4.599572995398083e-09,2.014386934603056e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,1.0,0.0,18.0,0.0,rates_65e4c1ad12cf1435,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,IZ,1,local,-5.271894995850133e-11,3.1723370649170076e-09,-5.271894995850133e-11,3.1723370649170076e-09,-9.26597703723571e-12,2.478207105242617e-09,-9.26597703723571e-12,2.478207105242617e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,1.0,0.0,18.0,0.0,rates_65e4c1ad12cf1435,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,XI,1,local,-1.6584668892187196e-09,0.00028167414324223165,-1.6584668892187196e-09,0.00028167414324223165,-5.750812206368293e-09,5.997171704631684e-05,-5.750812206368293e-09,5.997171704631684e-05,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,1.0,0.0,18.0,0.0,rates_65e4c1ad12cf1435,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,XX,2,correlated,0.013728574173033671,0.0001636949651776774,0.013728574173033671,0.0001636949651776774,0.013736789238169168,2.382847178729613e-06,0.013736789238169168,2.382847178729613e-06,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,1.0,0.0,18.0,0.0,rates_65e4c1ad12cf1435,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,XY,2,correlated,-4.6498606323837385e-09,3.968963177865536e-09,-4.6498606323837385e-09,3.968963177865536e-09,-1.741786819161499e-09,4.457403101680936e-09,-1.741786819161499e-09,4.457403101680936e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,1.0,0.0,18.0,0.0,rates_65e4c1ad12cf1435,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,XZ,2,correlated,-3.660526789395277e-10,2.537615997110911e-09,-3.660526789395277e-10,2.537615997110911e-09,-1.7976886043286459e-09,2.0048041848635705e-09,-1.7976886043286459e-09,2.0048041848635705e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,1.0,0.0,18.0,0.0,rates_65e4c1ad12cf1435,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,YI,1,local,3.1753350582610685e-09,2.5117891195796796e-09,3.1753350582610685e-09,2.5117891195796796e-09,-8.599115536275106e-11,2.5204308967882616e-09,-8.599115536275106e-11,2.5204308967882616e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,1.0,0.0,18.0,0.0,rates_65e4c1ad12cf1435,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,YX,2,correlated,-1.065519971755256e-09,3.8976960690706485e-09,-1.065519971755256e-09,3.8976960690706485e-09,3.665353676914303e-09,3.442685782843502e-09,3.665353676914303e-09,3.442685782843502e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,1.0,0.0,18.0,0.0,rates_65e4c1ad12cf1435,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,YY,2,correlated,-9.007116729770672e-10,8.007861900794823e-09,-9.007116729770672e-10,8.007861900794823e-09,-3.811210581619316e-09,4.6139155065648324e-09,-3.811210581619316e-09,4.6139155065648324e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,1.0,0.0,18.0,0.0,rates_65e4c1ad12cf1435,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,YZ,2,correlated,3.995185806581691e-09,4.284108405219555e-09,3.995185806581691e-09,4.284108405219555e-09,-1.014829336513181e-09,2.6957229913134252e-09,-1.014829336513181e-09,2.6957229913134252e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,1.0,0.0,18.0,0.0,rates_65e4c1ad12cf1435,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,ZI,1,local,4.658132068274723e-11,3.879781464308072e-09,4.658132068274723e-11,3.879781464308072e-09,1.3512532420043294e-10,2.4683907325293853e-09,1.3512532420043294e-10,2.4683907325293853e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,1.0,0.0,18.0,0.0,rates_65e4c1ad12cf1435,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,ZX,2,correlated,-3.471773784863962e-10,2.8598509432993524e-09,-3.471773784863962e-10,2.8598509432993524e-09,-1.902926413529346e-09,2.0728728623644623e-09,-1.902926413529346e-09,2.0728728623644623e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,1.0,0.0,18.0,0.0,rates_65e4c1ad12cf1435,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,ZY,2,correlated,2.3158805178111646e-09,5.136251243846026e-09,2.3158805178111646e-09,5.136251243846026e-09,-5.381032890619856e-09,3.2122464424964876e-09,-5.381032890619856e-09,3.2122464424964876e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,1.0,0.0,18.0,0.0,rates_65e4c1ad12cf1435,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,ZZ,2,correlated,9.36437843116243e-16,7.847099020217001e-09,9.36437843116243e-16,7.847099020217001e-09,2.6700504001365136e-15,3.3467925419553403e-09,2.6700504001365136e-15,3.3467925419553403e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,2.0,0.0,36.0,0.0,rates_7f1e3dd0f07550fa,rates_7f1e3dd0f07550fa,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,IX,1,local,-8.820353762591717e-09,0.0005028234493886604,-8.820353762591717e-09,0.0005028234493886604,-9.014333959039476e-10,5.9973929743028704e-05,-9.014333959039476e-10,5.9973929743028704e-05,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,2.0,0.0,36.0,0.0,rates_7f1e3dd0f07550fa,rates_7f1e3dd0f07550fa,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,IY,1,local,9.942180408904358e-10,1.2955433418158284e-09,9.942180408904358e-10,1.2955433418158284e-09,4.599572995398083e-09,2.014386934603056e-09,4.599572995398083e-09,2.014386934603056e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,2.0,0.0,36.0,0.0,rates_7f1e3dd0f07550fa,rates_7f1e3dd0f07550fa,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,IZ,1,local,5.761130873289323e-12,3.4946369601697006e-09,5.761130873289323e-12,3.4946369601697006e-09,-9.26597703723571e-12,2.478207105242617e-09,-9.26597703723571e-12,2.478207105242617e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,2.0,0.0,36.0,0.0,rates_7f1e3dd0f07550fa,rates_7f1e3dd0f07550fa,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,XI,1,local,-7.211451323636742e-10,0.0005028229821701087,-7.211451323636742e-10,0.0005028229821701087,-5.750812206368293e-09,5.997171704631684e-05,-5.750812206368293e-09,5.997171704631684e-05,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,2.0,0.0,36.0,0.0,rates_7f1e3dd0f07550fa,rates_7f1e3dd0f07550fa,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,XX,2,correlated,0.013720917135266323,0.0003249617689711472,0.013720917135266323,0.0003249617689711472,0.013736789238169168,2.382847178729613e-06,0.013736789238169168,2.382847178729613e-06,0.0,0.0
