noise_source,multiplier,varied_strength_s^-1,nbar,F_avg,infidelity,nominal_infidelity,delta_infidelity_vs_nominal
photon_scattering,1.0,4.0,2.0,0.9940192890881148,0.005980710911885234,0.005980710911885234,0.0
photon_scattering,1.0,4.0,3.0,0.9911223545863443,0.008877645413655655,0.008877645413655655,0.0
photon_scattering,1.0,4.0,4.0,0.9877192347413615,0.012280765258638526,0.012280765258638526,0.0
photon_scattering,2.0,8.0,0.01,0.9974952311527364,0.002504768847263583,0.00194650153000675,0.0005582673172568331
photon_scattering,2.0,8.0,1.0,0.9957985635219864,0.0042014364780136315,0.003644327381719714,0.0005571090962939174
photon_scattering,2.0,8.0,2.0,0.993463852193009,0.006536147806990966,0.005980710911885234,0.000555436895105732
photon_scattering,2.0,8.0,3.0,0.9905689954880813,0.009431004511918695,0.008877645413655655,0.0005533590982630399
photon_scattering,2.0,8.0,4.0,0.9871682479349179,0.012831752065082136,0.012280765258638526,0.0005509868064436096
photon_scattering,4.0,16.0,0.01,0.9963800524614932,0.003619947538506807,0.00194650153000675,0.0016734460085000569
photon_scattering,4.0,16.0,1.0,0.9946857569765886,0.005314243023411436,0.003644327381719714,0.0016699156416917216
photon_scattering,4.0,16.0,2.0,0.9923543081051627,0.007645691894837325,0.005980710911885234,0.0016649809829520912
photon_scattering,4.0,16.0,3.0,0.989463535473947,0.010536464526052947,0.008877645413655655,0.0016588191123972917
photon_scattering,4.0,16.0,4.0,0.986067567706289,0.013932432293710995,0.012280765258638526,0.0016516670350724683
spin_dephasing,0.0,0.0,0.01,0.9983195285085913,0.0016804714914087082,0.00194650153000675,-0.00026603003859804186
spin_dephasing,0.0,0.0,1.0,0.9966211062285936,0.0033788937714064327,0.003644327381719714,-0.0002654336103132815
spin_dephasing,0.0,0.0,2.0,0.994283977284713,0.005716022715287039,0.005980710911885234,-0.0002646881965981951
spin_dephasing,0.0,0.0,3.0,0.9913860744237681,0.008613925576231862,0.008877645413655655,-0.00026371983742379257
spin_dephasing,0.0,0.0,4.0,0.9879818113012856,0.012018188698714405,0.012280765258638526,-0.00026257655992412143
spin_dephasing,0.5,1.6666666666666667,0.01,0.9981864963520988,0.0018135036479012268,0.00194650153000675,-0.00013299788210552332
spin_dephasing,0.5,1.6666666666666667,1.0,0.9964883582428932,0.0035116417571068315,0.003644327381719714,-0.0001326856246128827
spin_dephasing,0.5,1.6666666666666667,2.0,0.9941516108222641,0.005848389177735891,0.005980710911885234,-0.00013232173414934323
spin_dephasing,0.5,1.6666666666666667,3.0,0.9912542201762644,0.008745779823735589,0.008877645413655655,-0.00013186558992006603
spin_dephasing,0.5,1.6666666666666667,4.0,0.987850520175094,0.012149479824905995,0.012280765258638526,-0.00013128543373253088
spin_dephasing,1.0,3.3333333333333335,0.01,0.9980534984699932,0.00194650153000675,0.00194650153000675,0.0
spin_dephasing,1.0,3.3333333333333335,1.0,0.9963556726182803,0.003644327381719714,0.003644327381719714,0.0
spin_dephasing,1.0,3.3333333333333335,2.0,0.9940192890881148,0.005980710911885234,0.005980710911885234,0.0
spin_dephasing,1.0,3.3333333333333335,3.0,0.9911223545863443,0.008877645413655655,0.008877645413655655,0.0
spin_dephasing,1.0,3.3333333333333335,4.0,0.9877192347413615,0.012280765258638526,0.012280765258638526,0.0
spin_dephasing,2.0,6.666666666666667,0.01,0.9977875926029075,0.0022124073970924973,0.00194650153000675,0.00026590586708574726
spin_dephasing,2.0,6.666666666666667,1.0,0.9960903098079565,0.003909690192043458,0.003644327381719714,0.00026536281032374376
spin_dephasing,2.0,6.666666666666667,2.0,0.9937547153690407,0.006245284630959302,0.005980710911885234,0.00026457371907406824
spin_dephasing,2.0,6.666666666666667,3.0,0.9908587775786806,0.009141222421319428,0.008877645413655655,0.00026357700766377334
spin_dephasing,2.0,6.666666666666667,4.0,0.9874567794039759,0.012543220596024085,0.012280765258638526,0.0002624553373855587
spin_dephasing,4.0,13.333333333333334,0.01,0.997256117644967,0.0027438823550329783,0.00194650153000675,0.0007973808250262282
spin_dephasing,4.0,13.333333333333334,1.0,0.9955599317752692,0.004440068224730753,0.003644327381719714,0.0007957408430110391
spin_dephasing,4.0,13.333333333333334,2.0,0.993225877865612,0.006774122134387994,0.005980710911885234,0.0007934112225027601
spin_dephasing,4.0,13.333333333333334,3.0,0.990331857243185,0.009668142756815046,0.008877645413655655,0.0007904973431593909
spin_dephasing,4.0,13.333333333333334,4.0,0.9869321263445727,0.013067873655427276,0.012280765258638526,0.0007871083967887493
