pair_id,source_i,source_j,epsilon_multiplier,condition_id,single_i_condition_id,single_j_condition_id,zero_condition_id,nbar,pair_infidelity,single_i_infidelity,single_j_infidelity,zero_infidelity,interaction_infidelity,kappa_multiplier,kappa_physical_s2
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,0.125,rates_8e3afbc2a44b8b1b,rates_d020294e2819f325,rates_51cf49f8b796b1a4,rates_7283b228c09abbcb,4.0,0.008618521491662867,0.008585538222855127,0.008254464019267993,0.0082214370008468,-4.374961345282591e-08,-2.799975260980858e-06,-4.6666254349680966e-08
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.5,rates_7affb8fbc133d6bd,rates_d40c9e1dbffac54a,rates_70251d48c79bc447,rates_7283b228c09abbcb,0.01,0.0006854727238632,0.0004438274759339,0.0004905090038785,0.0002487641440845,-9.961186470006057e-08,-3.984474588002423e-07,-2.2135969933346793e-09
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.25,rates_959997aab08ed685,rates_19f143240f6c0d42,rates_5d0830fbd54877b3,rates_7283b228c09abbcb,0.01,0.0004672151709410599,0.0003463016960079113,0.0003696741231623557,0.0002487641440845,3.4958552929081725e-09,5.593368468653076e-08,3.1074269270294866e-10
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.125,rates_0e1e57a650d2127b,rates_73659cb088efe49c,rates_d020294e2819f325,rates_7283b228c09abbcb,0.01,0.0003580113646041161,0.0002975328235125252,0.00030924625284356466,0.0002487641440845,-3.56766747378447e-09,-2.2833071832220608e-07,-1.2685039906789227e-09
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.5,rates_7affb8fbc133d6bd,rates_d40c9e1dbffac54a,rates_70251d48c79bc447,rates_7283b228c09abbcb,1.0,0.0020628713097086,0.0014930351155408,0.001871974006538,0.0013018788028587,-2.5900951150016095e-07,-1.0360380460006438e-06,-5.755766922225799e-09
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.25,rates_959997aab08ed685,rates_19f143240f6c0d42,rates_5d0830fbd54877b3,rates_7283b228c09abbcb,1.0,0.0016827056370560811,0.0013974596514891857,0.0015871999345968835,0.0013018788028587,-7.51461712881693e-08,-1.2023387406107089e-06,-6.679659670059494e-09
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.125,rates_0e1e57a650d2127b,rates_73659cb088efe49c,rates_d020294e2819f325,rates_7283b228c09abbcb,1.0,0.0014923628905870734,0.001349675138547779,0.0014445910988623023,0.0013018788028587,-2.4543964308003374e-08,-1.570813715712216e-06,-8.726742865067867e-09
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.5,rates_7affb8fbc133d6bd,rates_d40c9e1dbffac54a,rates_70251d48c79bc447,rates_7283b228c09abbcb,2.0,0.0040958635829413,0.0032130852810559,0.0039091162522086,0.0030258929745734,-4.449757498000209e-07,-1.7799029992000837e-06,-9.88834999555602e-09
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.25,rates_959997aab08ed685,rates_19f143240f6c0d42,rates_5d0830fbd54877b3,rates_7283b228c09abbcb,2.0,0.0035616401832765376,0.0031195106026273844,0.0034681344127676095,0.0030258929745734,-1.1185754505635415e-07,-1.7897207209016663e-06,-9.942892893898146e-09
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.125,rates_0e1e57a650d2127b,rates_73659cb088efe49c,rates_d020294e2819f325,rates_7283b228c09abbcb,2.0,0.003293945025585332,0.003072719722451822,0.0032471605703363604,0.0030258929745734,-4.229262945062984e-08,-2.7067282848403096e-06,-1.503737936022394e-08
