nbar,component,multiplier_x,multiplier_y,multiplier_product,observed,fitted_prediction,fitted_residual,loocv_prediction,loocv_residual,fitted_residual_over_peak,loocv_residual_over_peak
1.0,coherent_h_XX,2.0,4.0,8.0,8.284946117695369e-07,8.212784382966174e-07,7.2161734729194805e-09,8.200867979746904e-07,8.407813794846468e-09,0.00443207391312748,0.005163962912811781
1.0,coherent_h_XX,4.0,4.0,16.0,1.6281708325183164e-06,1.6425568765932348e-06,-1.4386044074918378e-08,1.6613888473605298e-06,-3.321801484221341e-08,-0.008835709243524077,-0.02040204515323162
1.0,correlated_gamma_XX,0.5,0.5,0.25,-1.4559779486222892e-08,-9.184740995057936e-09,-5.375038491164956e-09,-9.183996942110654e-09,-5.375782544112238e-09,-0.009319713593949888,-0.009321003698267988
1.0,correlated_gamma_XX,1.0,0.5,0.5,-7.875200246966214e-09,-1.8369481990115872e-08,1.0494281743149658e-08,-1.837529519146923e-08,1.0500094944503015e-08,0.018195906946737898,0.018205986385567273
1.0,correlated_gamma_XX,2.0,0.5,1.0,-3.954834577771065e-08,-3.6738963980231744e-08,-2.809381797478907e-09,-3.673272870366638e-08,-2.815617074044269e-09,-0.004871152787388666,-0.004881964057273293
1.0,correlated_gamma_XX,4.0,0.5,2.0,-5.9573023569736705e-08,-7.347792796046349e-08,1.3904904390726783e-08,-7.360220025218342e-08,1.4029176682446719e-08,0.02410954390109741,0.024325018109960718
1.0,correlated_gamma_XX,0.5,1.0,0.5,-2.0542006090606447e-08,-1.8369481990115872e-08,-2.1725241004905755e-09,-1.8368278542338284e-08,-2.1737275482681635e-09,-0.0037669130045871507,-0.003768999647990883
1.0,correlated_gamma_XX,1.0,1.0,1.0,-4.1413383771273574e-08,-3.6738963980231744e-08,-4.67441979104183e-09,-3.6728589348985153e-08,-4.6847944222884206e-09,-0.008104919386532442,-0.0081229078329445
1.0,correlated_gamma_XX,2.0,1.0,2.0,-7.47104628444524e-08,-7.347792796046349e-08,-1.2325348839889142e-09,-7.346691242735703e-08,-1.2435504170953715e-09,-0.0021370771822769464,-0.0021561768805964283
1.0,correlated_gamma_XX,4.0,1.0,4.0,-1.4165550551417834e-07,-1.4695585592092698e-07,5.300350406748636e-09,-1.4715055956623155e-07,5.495054052053213e-09,0.009190212836553453,0.009527807109212026
1.0,correlated_gamma_XX,0.5,2.0,1.0,-3.9364178703541614e-08,-3.6738963980231744e-08,-2.6252147233098696e-09,-3.673313745289467e-08,-2.631041250646944e-09,-0.004551827746737811,-0.004561930291327606
1.0,correlated_gamma_XX,1.0,2.0,2.0,-8.194819675182976e-08,-7.347792796046349e-08,-8.470268791366275e-09,-7.340222663346342e-08,-8.545970118366342e-09,-0.014686495609112678,-0.01481775321545024
1.0,correlated_gamma_XX,2.0,2.0,4.0,-1.6925516156131824e-07,-1.4695585592092698e-07,-2.2299305640391267e-08,-1.4613671081489452e-07,-2.3118450746423724e-08,-0.03866449370623121,-0.04008479940128003
1.0,correlated_gamma_XX,4.0,2.0,8.0,-3.0352280259938937e-07,-2.9391171184185395e-07,-9.611090757535421e-09,-2.923245876787002e-07,-1.119821492068916e-08,-0.01666455288328094,-0.019416448086067552
1.0,correlated_gamma_XX,0.5,4.0,2.0,-7.400902025977205e-08,-7.347792796046349e-08,-5.310922993085643e-10,-7.347318142964995e-08,-5.358388301221002e-10,-0.0009208544514879138,-0.0009290844032956496
1.0,correlated_gamma_XX,1.0,4.0,4.0,-1.5214594411574157e-07,-1.4695585592092698e-07,-5.190088194814597e-09,-1.4676520265964522e-07,-5.380741456096352e-09,-0.008999030533924412,-0.009329601895193558
1.0,correlated_gamma_XX,2.0,4.0,8.0,-2.953820287438002e-07,-2.9391171184185395e-07,-1.4703169019462594e-09,-2.9366891156648015e-07,-1.7131171773200587e-09,-0.002549364519157693,-0.002970352951284351
1.0,correlated_gamma_XX,4.0,4.0,16.0,-5.767385914792799e-07,-5.878234236837079e-07,1.1084832204428036e-08,-6.023339614623392e-07,2.5595369983059292e-08,0.019219855179096808,0.04437949941482083
1.0,local_gamma_X,0.5,0.5,0.25,3.8262104923555474e-08,3.7111044146431325e-08,1.1510607771241491e-09,3.7110884808007026e-08,1.1512201155484483e-09,0.0004876419943803645,0.00048770949742499157
1.0,local_gamma_X,1.0,0.5,0.5,7.957999788257722e-08,7.422208829286265e-08,5.35790958971457e-09,7.42191203329736e-08,5.360877549603622e-09,0.002269855571454584,0.002271112935017223
1.0,local_gamma_X,2.0,0.5,1.0,1.530778562110446e-07,1.484441765857253e-07,4.633679625319308e-09,1.4843389237515446e-07,4.643963835890146e-09,0.001963038632465415,0.001967395494460071
1.0,local_gamma_X,4.0,0.5,2.0,3.0547649778208633e-07,2.968883531714506e-07,8.58814461063573e-09,2.968115983529782e-07,8.664899429108118e-09,0.0036383308763423276,0.003670847728190665
