pair_id,source_x,source_y,nbar,multiplier_x,multiplier_y,C_gamma_IX_per_gate,C_gamma_XI_per_gate,C_gamma_XX_per_gate,C_h_XX_rad_per_gate,C_gamma_X_mean_per_gate,C_gamma_X_ion_asymmetry_per_gate,multiplier_product,a_X_per_gate,a_X_rmse,a_X_max_abs_residual,a_X_nrmse_to_max_abs_response,a_X_r_squared,a_XX_per_gate,a_XX_rmse,a_XX_max_abs_residual,a_XX_nrmse_to_max_abs_response,a_XX_r_squared,b_XX_rad_per_gate,b_XX_rad_rmse,b_XX_rad_max_abs_residual,b_XX_rad_nrmse_to_max_abs_response,b_XX_rad_r_squared,model_C_gamma_X_mean_per_gate,model_C_gamma_XX_per_gate,model_C_h_XX_rad_per_gate,residual_C_gamma_X_mean_per_gate,residual_C_gamma_XX_per_gate,residual_C_h_XX_rad_per_gate
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.01,4.0,4.0,1.8818944795976e-06,1.878065498121505e-06,-1.4068507609744844e-07,1.8942199686219907e-06,1.8799799888595526e-06,1.9144907380475246e-09,16.0,1.1780940052415042e-07,5.044794204936219e-09,1.1495465876394634e-08,0.002683429735864651,0.999884158299968,8.672037700395765e-09,1.2761427640328363e-08,2.7348767149390867e-08,0.09070917821794328,0.889455386089665,1.1808008058636537e-07,1.0940870333920475e-08,2.3243907555179645e-08,0.005775923871122398,0.999466537630251,1.8849504083864067e-06,-1.3875260320633224e-07,1.889281289381846e-06,-4.970419526854184e-09,-1.9324728911162065e-09,4.938679240144815e-09
motional_heating__motional_dephasing,motional_heating,motional_dephasing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.484441765857253e-07,8.103796356330473e-09,1.6168468131871403e-08,0.003433138801868063,0.9998104892949444,3.6738963980231744e-08,8.721262139655773e-09,2.2299305640391267e-08,0.01512168991030505,0.9963901235558278,1.0265980478707717e-07,1.0534433138020054e-08,3.139786752509205e-08,0.00647010309214684,0.9993287139808265,0.0,-0.0,0.0,0.0,0.0,0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.484441765857253e-07,8.103796356330473e-09,1.6168468131871403e-08,0.003433138801868063,0.9998104892949444,3.6738963980231744e-08,8.721262139655773e-09,2.2299305640391267e-08,0.01512168991030505,0.9963901235558278,1.0265980478707717e-07,1.0534433138020054e-08,3.139786752509205e-08,0.00647010309214684,0.9993287139808265,0.0,-0.0,0.0,0.0,0.0,0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.484441765857253e-07,8.103796356330473e-09,1.6168468131871403e-08,0.003433138801868063,0.9998104892949444,3.6738963980231744e-08,8.721262139655773e-09,2.2299305640391267e-08,0.01512168991030505,0.9963901235558278,1.0265980478707717e-07,1.0534433138020054e-08,3.139786752509205e-08,0.00647010309214684,0.9993287139808265,0.0,-0.0,0.0,0.0,0.0,0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.484441765857253e-07,8.103796356330473e-09,1.6168468131871403e-08,0.003433138801868063,0.9998104892949444,3.6738963980231744e-08,8.721262139655773e-09,2.2299305640391267e-08,0.01512168991030505,0.9963901235558278,1.0265980478707717e-07,1.0534433138020054e-08,3.139786752509205e-08,0.00647010309214684,0.9993287139808265,0.0,-0.0,0.0,0.0,0.0,0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.484441765857253e-07,8.103796356330473e-09,1.6168468131871403e-08,0.003433138801868063,0.9998104892949444,3.6738963980231744e-08,8.721262139655773e-09,2.2299305640391267e-08,0.01512168991030505,0.9963901235558278,1.0265980478707717e-07,1.0534433138020054e-08,3.139786752509205e-08,0.00647010309214684,0.9993287139808265,0.0,-0.0,0.0,0.0,0.0,0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,1.0,0.0,0.5,0.0,-2.710505431213761e-20,0.0,0.0,-1.3552527156068805e-20,1.3552527156068805e-20,0.0,1.484441765857253e-07,8.103796356330473e-09,1.6168468131871403e-08,0.003433138801868063,0.9998104892949444,3.6738963980231744e-08,8.721262139655773e-09,2.2299305640391267e-08,0.01512168991030505,0.9963901235558278,1.0265980478707717e-07,1.0534433138020054e-08,3.139786752509205e-08,0.00647010309214684,0.9993287139808265,0.0,-0.0,0.0,-1.3552527156068805e-20,0.0,0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,1.0,0.5,0.5,3.9998068967388514e-08,3.6526140879722434e-08,-1.4559779486222892e-08,1.7147806178480218e-08,3.8262104923555474e-08,1.73596404383304e-09,0.25,1.484441765857253e-07,8.103796356330473e-09,1.6168468131871403e-08,0.003433138801868063,0.9998104892949444,3.6738963980231744e-08,8.721262139655773e-09,2.2299305640391267e-08,0.01512168991030505,0.9963901235558278,1.0265980478707717e-07,1.0534433138020054e-08,3.139786752509205e-08,0.00647010309214684,0.9993287139808265,3.7111044146431325e-08,-9.184740995057936e-09,2.5664951196769293e-08,1.1510607771241491e-09,-5.375038491164956e-09,-8.517145018289075e-09
motional_heating__motional_dephasing,motional_heating,motional_dephasing,1.0,1.0,0.5,8.529016959954017e-08,7.386982616561428e-08,-7.875200246966214e-09,6.152341436999055e-08,7.957999788257722e-08,5.710171716962946e-09,0.5,1.484441765857253e-07,8.103796356330473e-09,1.6168468131871403e-08,0.003433138801868063,0.9998104892949444,3.6738963980231744e-08,8.721262139655773e-09,2.2299305640391267e-08,0.01512168991030505,0.9963901235558278,1.0265980478707717e-07,1.0534433138020054e-08,3.139786752509205e-08,0.00647010309214684,0.9993287139808265,7.422208829286265e-08,-1.8369481990115872e-08,5.132990239353859e-08,5.35790958971457e-09,1.0494281743149658e-08,1.0193511976451963e-08
motional_heating__motional_dephasing,motional_heating,motional_dephasing,1.0,2.0,0.5,1.553700498608721e-07,1.5078566256121714e-07,-3.954834577771065e-08,1.0321129124621353e-07,1.530778562110446e-07,2.292193649827481e-09,1.0,1.484441765857253e-07,8.103796356330473e-09,1.6168468131871403e-08,0.003433138801868063,0.9998104892949444,3.6738963980231744e-08,8.721262139655773e-09,2.2299305640391267e-08,0.01512168991030505,0.9963901235558278,1.0265980478707717e-07,1.0534433138020054e-08,3.139786752509205e-08,0.00647010309214684,0.9993287139808265,1.484441765857253e-07,-3.6738963980231744e-08,1.0265980478707717e-07,4.633679625319308e-09,-2.809381797478907e-09,5.514864591363586e-10
motional_heating__motional_dephasing,motional_heating,motional_dephasing,1.0,4.0,0.5,3.028116011698809e-07,3.081413943942918e-07,-5.9573023569736705e-08,2.0088110188470898e-07,3.0547649778208633e-07,-2.664896612205448e-09,2.0,1.484441765857253e-07,8.103796356330473e-09,1.6168468131871403e-08,0.003433138801868063,0.9998104892949444,3.6738963980231744e-08,8.721262139655773e-09,2.2299305640391267e-08,0.01512168991030505,0.9963901235558278,1.0265980478707717e-07,1.0534433138020054e-08,3.139786752509205e-08,0.00647010309214684,0.9993287139808265,2.968883531714506e-07,-7.347792796046349e-08,2.0531960957415435e-07,8.58814461063573e-09,1.3904904390726783e-08,-4.4385076894453684e-09
motional_heating__motional_dephasing,motional_heating,motional_dephasing,1.0,0.0,1.0,0.0,2.710505431213761e-20,0.0,0.0,1.3552527156068805e-20,-1.3552527156068805e-20,0.0,1.484441765857253e-07,8.103796356330473e-09,1.6168468131871403e-08,0.003433138801868063,0.9998104892949444,3.6738963980231744e-08,8.721262139655773e-09,2.2299305640391267e-08,0.01512168991030505,0.9963901235558278,1.0265980478707717e-07,1.0534433138020054e-08,3.139786752509205e-08,0.00647010309214684,0.9993287139808265,0.0,-0.0,0.0,1.3552527156068805e-20,0.0,0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,1.0,0.5,1.0,6.837931654745093e-08,7.681538440195585e-08,-2.0542006090606447e-08,4.79882031993728e-08,7.259735047470339e-08,-4.218033927252459e-09,0.5,1.484441765857253e-07,8.103796356330473e-09,1.6168468131871403e-08,0.003433138801868063,0.9998104892949444,3.6738963980231744e-08,8.721262139655773e-09,2.2299305640391267e-08,0.01512168991030505,0.9963901235558278,1.0265980478707717e-07,1.0534433138020054e-08,3.139786752509205e-08,0.00647010309214684,0.9993287139808265,7.422208829286265e-08,-1.8369481990115872e-08,5.132990239353859e-08,-1.6247378181592635e-09,-2.1725241004905755e-09,-3.3416991941657838e-09
motional_heating__motional_dephasing,motional_heating,motional_dephasing,1.0,1.0,1.0,1.5417605886685218e-07,1.4204528483489586e-07,-4.1413383771273574e-08,1.0828838805862496e-07,1.4811067185087402e-07,6.065387015978161e-09,1.0,1.484441765857253e-07,8.103796356330473e-09,1.6168468131871403e-08,0.003433138801868063,0.9998104892949444,3.6738963980231744e-08,8.721262139655773e-09,2.2299305640391267e-08,0.01512168991030505,0.9963901235558278,1.0265980478707717e-07,1.0534433138020054e-08,3.139786752509205e-08,0.00647010309214684,0.9993287139808265,1.484441765857253e-07,-3.6738963980231744e-08,1.0265980478707717e-07,-3.335047348512773e-10,-4.67441979104183e-09,5.628583271547791e-09
motional_heating__motional_dephasing,motional_heating,motional_dephasing,1.0,2.0,1.0,3.087360910528818e-07,3.079579853231039e-07,-7.47104628444524e-08,2.367174770992464e-07,3.0834703818799286e-07,3.890528648889521e-10,2.0,1.484441765857253e-07,8.103796356330473e-09,1.6168468131871403e-08,0.003433138801868063,0.9998104892949444,3.6738963980231744e-08,8.721262139655773e-09,2.2299305640391267e-08,0.01512168991030505,0.9963901235558278,1.0265980478707717e-07,1.0534433138020054e-08,3.139786752509205e-08,0.00647010309214684,0.9993287139808265,2.968883531714506e-07,-7.347792796046349e-08,2.0531960957415435e-07,1.1458685016542255e-08,-1.2325348839889142e-09,3.139786752509205e-08
motional_heating__motional_dephasing,motional_heating,motional_dephasing,1.0,4.0,1.0,6.00118497924595e-07,6.197718510249502e-07,-1.4165550551417834e-07,4.083833305100482e-07,6.099451744747726e-07,-9.82667655017764e-09,4.0,1.484441765857253e-07,8.103796356330473e-09,1.6168468131871403e-08,0.003433138801868063,0.9998104892949444,3.6738963980231744e-08,8.721262139655773e-09,2.2299305640391267e-08,0.01512168991030505,0.9963901235558278,1.0265980478707717e-07,1.0534433138020054e-08,3.139786752509205e-08,0.00647010309214684,0.9993287139808265,5.937767063429012e-07,-1.4695585592092698e-07,4.106392191483087e-07,1.6168468131871403e-08,5.300350406748636e-09,-2.255888638260483e-09
