nbar,rate_power,sector,mode,coarse_step_size,fine_step_size,fine_maximum_stencil_multiplier,absolute_coefficient_change,fine_absolute_coefficient,relative_coefficient_change,relative_converged,coefficient_rtol
0.01,4,C,"XX,YI",0.2,0.1,0.4,3.636123344818214e-06,2.4459047450673496e-06,1.4866169061371566,False,0.05
0.01,4,C,"XX,YX",0.2,0.1,0.4,1.2352022965449134e-06,1.1945455707708494e-06,1.0340353074582393,False,0.05
0.01,4,C,"XX,YY",0.2,0.1,0.4,6.630454368788412e-06,5.971976675331392e-06,1.110261263440129,False,0.05
0.01,4,C,"XX,YZ",0.2,0.1,0.4,4.887833815705674e-06,3.5844853747954692e-06,1.3636082462701005,False,0.05
0.01,4,C,"XX,ZI",0.2,0.1,0.4,4.448837058459464e-05,4.363660885585674e-05,1.0195194299252606,False,0.05
0.01,4,C,"XX,ZX",0.2,0.1,0.4,4.91247686195235e-06,4.949144670031307e-06,0.9925910817881335,False,0.05
0.01,4,C,"XX,ZY",0.2,0.1,0.4,3.0675753528981595e-06,2.0675429027412187e-06,1.4836815955940086,False,0.05
0.01,4,C,"XX,ZZ",0.2,0.1,0.4,4.937803500686408e-06,4.995157317716207e-06,0.9885181159707657,False,0.05
0.01,4,C,"XY,XZ",0.2,0.1,0.4,2.3662593880969566e-06,2.2201732403780137e-06,1.065799436306182,False,0.05
0.01,4,C,"XY,YI",0.2,0.1,0.4,4.117314082308394e-06,4.165132356812955e-06,0.9885193865625076,False,0.05
0.01,4,C,"XY,YX",0.2,0.1,0.4,1.1264114348575443e-05,1.1356286474265731e-05,0.9918836033329066,False,0.05
0.01,4,C,"XY,YY",0.2,0.1,0.4,2.749518504341151e-06,2.561191775969672e-06,1.0735308968810733,False,0.05
0.01,4,C,"XY,YZ",0.2,0.1,0.4,8.91362019450621e-06,8.644421432922116e-06,1.0311413278115822,False,0.05
0.01,4,C,"XY,ZI",0.2,0.1,0.4,5.0856083708596204e-06,5.493783259698855e-06,0.9257024040548683,False,0.05
0.01,4,C,"XY,ZX",0.2,0.1,0.4,5.336434704023246e-06,4.971955586473786e-06,1.0733069938398134,False,0.05
0.01,4,C,"XY,ZY",0.2,0.1,0.4,1.4833275938595876e-05,1.4577786045274314e-05,1.0175259735962707,False,0.05
0.01,4,C,"XY,ZZ",0.2,0.1,0.4,1.8999755521342853e-06,1.971292223828058e-06,0.9638223745664238,False,0.05
0.01,4,C,"XZ,YI",0.2,0.1,0.4,9.563828333702806e-07,9.83349749603667e-07,0.9725764752121459,False,0.05
0.01,4,C,"XZ,YX",0.2,0.1,0.4,3.3299560215576737e-06,3.594341420002277e-06,0.9264439941700263,False,0.05
0.01,4,C,"XZ,YY",0.2,0.1,0.4,1.8596472034998945e-06,1.9334812292534913e-06,0.961812907911134,False,0.05
0.01,4,C,"XZ,YZ",0.2,0.1,0.4,1.379645179501978e-06,1.253650498121322e-06,1.1005022385182053,False,0.05
0.01,4,C,"XZ,ZI",0.2,0.1,0.4,2.475609967662214e-06,2.190113204858182e-06,1.1303570802507987,False,0.05
0.01,4,C,"XZ,ZX",0.2,0.1,0.4,8.070915103231774e-07,8.885327150607122e-07,0.9083419176839538,False,0.05
0.01,4,C,"XZ,ZY",0.2,0.1,0.4,4.362441627348297e-06,4.168646970145028e-06,1.0464886229491692,False,0.05
0.01,4,C,"XZ,ZZ",0.2,0.1,0.4,7.801608457606471e-07,6.490814150944169e-07,1.2019460542513962,False,0.05
0.01,4,C,"YI,YX",0.2,0.1,0.4,1.8339243425227355e-06,1.6449876027238528e-06,1.1148560265658123,False,0.05
0.01,4,C,"YI,YY",0.2,0.1,0.4,2.597066619722205e-06,2.5015994221249536e-06,1.0381624638832696,False,0.05
0.01,4,C,"YI,YZ",0.2,0.1,0.4,1.4334512425222897e-06,1.7581204162211924e-06,0.8153316628921649,False,0.05
0.01,4,C,"YI,ZI",0.2,0.1,0.4,2.84658232471119e-06,2.8359976351208496e-06,1.0037322631934738,False,0.05
0.01,4,C,"YI,ZX",0.2,0.1,0.4,1.2762304856253383e-06,9.244712729172098e-07,1.3804977212522103,False,0.05
0.01,4,C,"YI,ZY",0.2,0.1,0.4,4.399014628043742e-07,3.205129143434725e-07,1.3724921621503243,False,0.05
0.01,4,C,"YI,ZZ",0.2,0.1,0.4,1.6024329544013712e-06,1.3360693410700357e-06,1.1993636147043156,False,0.05
0.01,4,C,"YX,YY",0.2,0.1,0.4,3.158524915782676e-06,3.1183212836748037e-06,1.0128927164491832,False,0.05
0.01,4,C,"YX,YZ",0.2,0.1,0.4,7.317883198907373e-06,7.191815001289439e-06,1.0175293994068717,False,0.05
0.01,4,C,"YX,ZI",0.2,0.1,0.4,1.3600869110496699e-05,1.253273071341035e-05,1.0852279061532386,False,0.05
0.01,4,C,"YX,ZX",0.2,0.1,0.4,3.5692391371904207e-06,3.865885429149326e-06,0.9232656276561767,False,0.05
0.01,4,C,"YX,ZY",0.2,0.1,0.4,7.464059953769092e-07,3.68107622022889e-07,2.0276841627867666,False,0.05
0.01,4,C,"YX,ZZ",0.2,0.1,0.4,3.671145802804255e-06,3.290497580977812e-06,1.115681052016859,False,0.05
0.01,4,C,"YY,YZ",0.2,0.1,0.4,1.6382912056780446e-06,1.5363703123896175e-06,1.0663387547041983,False,0.05
0.01,4,C,"YY,ZI",0.2,0.1,0.4,1.0020246708838265e-05,1.0043088826006024e-05,0.9977255884555546,False,0.05
0.01,4,C,"YY,ZX",0.2,0.1,0.4,4.3673409971332925e-06,4.214178178709055e-06,1.0363446470294135,False,0.05
0.01,4,C,"YY,ZY",0.2,0.1,0.4,2.7949320177159454e-07,6.113325052466584e-07,0.45718688172621474,False,0.05
0.01,4,C,"YY,ZZ",0.2,0.1,0.4,1.1992411602984448e-05,1.1500404177923763e-05,1.042781750749695,False,0.05
0.01,4,C,"YZ,ZI",0.2,0.1,0.4,5.444717053648061e-06,5.484148843199757e-06,0.9928098615338294,False,0.05
0.01,4,C,"YZ,ZX",0.2,0.1,0.4,3.723571281492214e-06,3.567460158580048e-06,1.0437597382935602,False,0.05
0.01,4,C,"YZ,ZY",0.2,0.1,0.4,6.517447297266312e-07,8.783399824010901e-07,0.7420187430668673,False,0.05
0.01,4,C,"YZ,ZZ",0.2,0.1,0.4,2.3921728576673127e-06,2.389621659633157e-06,1.0010676158813139,False,0.05
0.01,4,C,"ZI,ZX",0.2,0.1,0.4,2.390568971768438e-06,2.4916325392251003e-06,0.959438815368781,False,0.05
0.01,4,C,"ZI,ZY",0.2,0.1,0.4,1.9347075406654864e-06,1.971320301313625e-06,0.9814272898099101,False,0.05
0.01,4,C,"ZI,ZZ",0.2,0.1,0.4,9.115995713607726e-06,9.08340208084282e-06,1.0035882626877926,False,0.05
0.01,4,C,"ZX,ZY",0.2,0.1,0.4,4.64263273552333e-06,4.527233893778292e-06,1.0254899226442948,False,0.05
0.01,4,C,"ZX,ZZ",0.2,0.1,0.4,7.736189453680852e-06,7.796410720593215e-06,0.9922757703422043,False,0.05
0.01,4,C,"ZY,ZZ",0.2,0.1,0.4,2.5044541380149368e-06,2.2060100490672198e-06,1.1352868220495687,False,0.05
0.01,4,A,"IX,IY",0.2,0.1,0.4,7.892718518118506e-06,7.273008745574556e-06,1.0852067960073646,False,0.05
0.01,4,A,"IX,IZ",0.2,0.1,0.4,1.74144700172938e-05,1.762277285808214e-05,0.9881799054855996,False,0.05
0.01,4,A,"IX,XI",0.2,0.1,0.4,1.8979184233677987e-06,2.336338114165545e-06,0.8123474987890039,False,0.05
0.01,4,A,"IX,XX",0.2,0.1,0.4,2.034598837321593e-05,1.8676317007064535e-05,1.0894004618533633,False,0.05
0.01,4,A,"IX,XY",0.2,0.1,0.4,1.4093180389817308e-05,1.4079703363862352e-05,1.0009571953049485,False,0.05
0.01,4,A,"IX,XZ",0.2,0.1,0.4,9.466200575806534e-07,7.923995389138336e-07,1.1946246951105177,False,0.05
0.01,4,A,"IX,YI",0.2,0.1,0.4,3.0247034733791296e-06,2.861159781121132e-06,1.0571599298078747,False,0.05
0.01,4,A,"IX,YX",0.2,0.1,0.4,9.498543713062874e-06,8.962713358750571e-06,1.0597843903809727,False,0.05
