nbar,polynomial_degree,rate_multiplier,rate_s^-1,finest_step_size,in_finest_fit_stencil,actual_response_frobenius,residual_frobenius,relative_residual
3.0,2,0.8,14.4,0.05,False,0.014721723628865717,0.0003395949794795375,0.023067610019092764
3.0,3,0.05,0.9,0.05,True,0.0009237430805956504,6.41671025349118e-08,6.946423078323402e-05
3.0,3,0.1,1.8,0.05,True,0.0018469896705142325,1.0266736405568068e-06,0.0005558632281202546
3.0,3,0.15000000000000002,2.7,0.05,True,0.002769737840047656,5.197535305318225e-06,0.0018765441371984852
3.0,3,0.2,3.6,0.05,True,0.0036921171073537582,1.6426778248906594e-05,0.004449148759715294
3.0,3,0.30000000000000004,5.4,0.05,False,0.005535188865811271,7.20587230030332e-05,0.01301829526506533
3.0,3,0.4,7.2,0.05,False,0.0073763157491269025,0.0001932797423063371,0.026202747940828677
3.0,3,0.6000000000000001,10.8,0.05,False,0.011052899972266205,0.0007347405551152375,0.06647491219126556
3.0,3,0.8,14.4,0.05,False,0.014721723628865717,0.0018442331909547167,0.12527291215674122
3.0,4,0.05,0.9,0.05,True,0.0009237430805956504,1.2159186869781123e-18,1.3162953125386991e-15
3.0,4,0.1,1.8,0.05,True,0.0018469896705142325,1.564671202177462e-18,8.471466988452792e-16
3.0,4,0.15000000000000002,2.7,0.05,True,0.002769737840047656,2.2791497363911225e-18,8.228756178425564e-16
3.0,4,0.2,3.6,0.05,True,0.0036921171073537582,3.267933365226158e-18,8.851109729746291e-16
3.0,4,0.30000000000000004,5.4,0.05,False,0.005535188865811271,1.2170522864251809e-05,0.0021987547596477586
3.0,4,0.4,7.2,0.05,False,0.0073763157491269025,7.233236811844743e-05,0.009806029266983188
3.0,4,0.6000000000000001,10.8,0.05,False,0.011052899972266205,0.0006059726297474738,0.05482476375141117
3.0,4,0.8,14.4,0.05,False,0.014721723628865717,0.002386050409562923,0.1620768375847281
4.0,2,0.05,0.9,0.05,True,0.0011573468292432926,1.6450379775366338e-06,0.001421387207335426
4.0,2,0.1,1.8,0.05,True,0.0023139098805754583,1.1390776414114674e-05,0.004922739865427189
4.0,2,0.15000000000000002,2.7,0.05,True,0.003469672976074249,3.248339852194903e-05,0.009362092262280658
4.0,2,0.2,3.6,0.05,True,0.004624770365412775,6.291551227228728e-05,0.01360402945469745
4.0,2,0.30000000000000004,5.4,0.05,False,0.006932780359810113,0.00015411349266543166,0.02222968054185591
4.0,2,0.4,7.2,0.05,False,0.009237704850800634,0.0002856176000814463,0.03091867565531624
4.0,2,0.6000000000000001,10.8,0.05,False,0.01383902277298424,0.0006679021462376345,0.04826223333785355
4.0,2,0.8,14.4,0.05,False,0.018428544728491134,0.001210499093133442,0.06568609247055579
4.0,3,0.05,0.9,0.05,True,0.0011573468292432926,2.2236438198285648e-07,0.00019213288217866795
4.0,3,0.1,1.8,0.05,True,0.0023139098805754583,3.5578301117256706e-06,0.001537583698307583
4.0,3,0.15000000000000002,2.7,0.05,True,0.003469672976074249,1.8011514940611203e-05,0.0051911275399188425
4.0,3,0.2,3.6,0.05,True,0.004624770365412775,5.692528178761069e-05,0.012308780174976306
4.0,3,0.30000000000000004,5.4,0.05,False,0.006932780359810113,0.00024994984232196306,0.036053333489539416
4.0,3,0.4,7.2,0.05,False,0.009237704850800634,0.0006716125717142966,0.07270340225863438
4.0,3,0.6000000000000001,10.8,0.05,False,0.01383902277298424,0.0025609525551950813,0.18505299089430133
4.0,3,0.8,14.4,0.05,False,0.018428544728491134,0.006440978641561184,0.34951097530795366
4.0,4,0.05,0.9,0.05,True,0.0011573468292432926,1.0853885247373468e-18,9.37824770684347e-16
4.0,4,0.1,1.8,0.05,True,0.0023139098805754583,1.3554132851827548e-18,5.857675342332995e-16
4.0,4,0.15000000000000002,2.7,0.05,True,0.003469672976074249,2.097653459710856e-18,6.045680599225348e-16
4.0,4,0.2,3.6,0.05,True,0.004624770365412775,2.9109680114684486e-18,6.294297406069448e-16
4.0,4,0.30000000000000004,5.4,0.05,False,0.006932780359810113,3.9275562653941145e-05,0.0056651964458047386
4.0,4,0.4,7.2,0.05,False,0.009237704850800634,0.00024208342134175994,0.02620601385860239
4.0,4,0.6000000000000001,10.8,0.05,False,0.01383902277298424,0.0020606791297835938,0.1489035146185564
4.0,4,0.8,14.4,0.05,False,0.018428544728491134,0.008157887450664349,0.4426767045827546
