context,noise_source,noise_title,nominal_rate_s^-1,nbar,sector,mode,coefficient_per_gate
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"YY,ZI",-2.4641907506988644e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"YY,ZX",1.2552290595798813e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"YY,ZY",7.480575370932685e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"YY,ZZ",3.640309477208682e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"YZ,ZI",1.1623916837929176e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"YZ,ZX",-1.1327725888373308e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"YZ,ZY",-1.3969215196331672e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"YZ,ZZ",-8.474800187801168e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"ZI,ZX",-1.4148788395274735e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"ZI,ZY",-1.3060360802772563e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"ZI,ZZ",-2.069274204731889e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"ZX,ZY",-1.2073184302207341e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"ZX,ZZ",5.02114495516605e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"ZY,ZZ",-3.457358338487701e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IX,IY",1.7241389914924628e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IX,IZ",1.9594850491712514e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IX,XI",0.00022170283558491986
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IX,XX",3.7819956021178535e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IX,XY",3.1953070369733303e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IX,XZ",-5.432358339215967e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IX,YI",1.1251774463730844e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IX,YX",2.4653536718091784e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IX,YY",-5.823662026976022e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IX,YZ",5.4077452146640496e-11
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IX,ZI",-2.4054008791753803e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IX,ZX",-6.479335453125899e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IX,ZY",1.066362436498977e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IX,ZZ",-6.4002080213679425e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IY,IZ",-2.0841893900621593e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IY,XI",7.165776129817284e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IY,XX",1.3867385552069267e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IY,XY",-2.9202465320712154e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IY,XZ",1.7760755381423284e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IY,YI",1.0975263202540197e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IY,YX",2.0169790076101856e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IY,YY",1.7188553932230546e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IY,YZ",-1.5637699857687326e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IY,ZI",-2.4837925991029716e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IY,ZX",-4.3219391494714823e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IY,ZY",-1.095096719415271e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IY,ZZ",1.830721352221084e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IZ,XI",2.473020062490258e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IZ,XX",2.8223846715590082e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IZ,XY",2.4066359297645634e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IZ,XZ",-1.5165854171857606e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IZ,YI",-2.9251677274687007e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IZ,YX",-1.6231193259858254e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IZ,YY",-7.853562461782187e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IZ,YZ",1.2236716458737186e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IZ,ZI",3.6839803169305425e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IZ,ZX",-6.968202070889665e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IZ,ZY",-3.635153110191105e-11
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"IZ,ZZ",-1.2747398562616634e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XI,XX",-2.3870529217039947e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XI,XY",5.182248038343608e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XI,XZ",-6.955443431123255e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XI,YI",1.2804058019314231e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XI,YX",3.1501295206223627e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XI,YY",-6.5031375739012436e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XI,YZ",-3.8940434396912266e-11
