nbar,sector,mode,coefficient_per_gate
1.0,C,"XI,ZY",-3.072732252050299e-11
1.0,C,"XI,ZZ",-1.4536007796602267e-09
1.0,C,"XX,XY",-4.1217812411640793e-10
1.0,C,"XX,XZ",1.2437663508831946e-09
1.0,C,"XX,YI",1.4635155058756756e-09
1.0,C,"XX,YX",-2.4562665902654384e-10
1.0,C,"XX,YY",4.393103676490044e-09
1.0,C,"XX,YZ",-1.6983810900472456e-09
1.0,C,"XX,ZI",2.3343841271900968e-09
1.0,C,"XX,ZX",-2.2591189094244927e-09
1.0,C,"XX,ZY",-9.012825313786732e-10
1.0,C,"XX,ZZ",1.189844997875825e-10
1.0,C,"XY,XZ",-6.06326565035035e-10
1.0,C,"XY,YI",1.2126974180007653e-09
1.0,C,"XY,YX",-4.0791900830510673e-10
1.0,C,"XY,YY",6.97418974565418e-10
1.0,C,"XY,YZ",1.2088520542153054e-09
1.0,C,"XY,ZI",-1.4011830424136427e-09
1.0,C,"XY,ZX",1.8537755212331022e-09
1.0,C,"XY,ZY",8.01340504849819e-10
1.0,C,"XY,ZZ",5.872723100706037e-10
1.0,C,"XZ,YI",-1.0342420394433372e-10
1.0,C,"XZ,YX",3.3425026914282956e-12
1.0,C,"XZ,YY",3.6328767218134156e-10
1.0,C,"XZ,YZ",-9.657358464988155e-10
1.0,C,"XZ,ZI",1.921701728055491e-10
1.0,C,"XZ,ZX",1.2218455695659003e-10
1.0,C,"XZ,ZY",1.3773276778774778e-10
1.0,C,"XZ,ZZ",1.0203764466687423e-10
1.0,C,"YI,YX",4.0225010561624473e-10
1.0,C,"YI,YY",8.557613563530312e-11
1.0,C,"YI,YZ",6.408765790397672e-10
1.0,C,"YI,ZI",-1.1357863560277542e-09
1.0,C,"YI,ZX",7.746275787318787e-10
1.0,C,"YI,ZY",2.6405614063344275e-10
1.0,C,"YI,ZZ",3.985253161610972e-11
1.0,C,"YX,YY",2.0505811652827768e-11
1.0,C,"YX,YZ",-7.637356923645122e-10
1.0,C,"YX,ZI",-4.75481596582467e-09
1.0,C,"YX,ZX",-2.7290644004091316e-09
1.0,C,"YX,ZY",-1.5370017264443092e-10
1.0,C,"YX,ZZ",1.2289011050161394e-09
1.0,C,"YY,YZ",-1.4705188333886602e-10
1.0,C,"YY,ZI",3.2925741010415774e-11
1.0,C,"YY,ZX",4.973268223929249e-10
1.0,C,"YY,ZY",-2.69061127123318e-10
1.0,C,"YY,ZZ",6.578167557747042e-11
1.0,C,"YZ,ZI",1.1516500948423682e-11
1.0,C,"YZ,ZX",9.43757937501252e-10
1.0,C,"YZ,ZY",3.786572058786253e-10
1.0,C,"YZ,ZZ",-3.3109251842877947e-10
1.0,C,"ZI,ZX",1.6676883549515449e-09
1.0,C,"ZI,ZY",-2.5995650008260595e-10
1.0,C,"ZI,ZZ",-1.365584998213088e-09
1.0,C,"ZX,ZY",-7.183922716287729e-11
1.0,C,"ZX,ZZ",-5.33330976599436e-10
1.0,C,"ZY,ZZ",-3.8116158566070615e-10
1.0,H,IX,1.1018229187877175e-08
1.0,H,IY,-1.255936880158514e-09
1.0,H,IZ,2.3915346879312715e-10
1.0,H,XI,1.5141457222137305e-08
1.0,H,XX,0.028839147892071412
1.0,H,XY,-1.243425390224995e-09
1.0,H,XZ,1.8450372713795329e-09
1.0,H,YI,2.2592110231607887e-09
1.0,H,YX,-2.334380739120517e-09
1.0,H,YY,2.862570714424354e-09
1.0,H,YZ,1.2249914549662534e-10
1.0,H,ZI,-1.4432516109011143e-11
1.0,H,ZX,1.6948965202714914e-09
1.0,H,ZY,3.7974781712722335e-09
1.0,H,ZZ,-1.5924228240332843e-16
1.0,S,IX,0.00016870811915723537
1.0,S,IY,4.023224132474149e-09
1.0,S,IZ,4.709075731435105e-09
1.0,S,XI,0.00016870314847153354
1.0,S,XX,0.0004600386557405552
1.0,S,XY,5.815765586081457e-09
1.0,S,XZ,2.494858885135552e-09
1.0,S,YI,9.400869439075196e-10
1.0,S,YX,5.422577755928564e-09
1.0,S,YY,5.073674001538643e-10
1.0,S,YZ,9.966681622193617e-10
1.0,S,ZI,5.127731014751952e-09
1.0,S,ZX,2.8077059212618955e-09
1.0,S,ZY,1.0978166449822227e-09
