context,noise_source,noise_title,nominal_rate_s^-1,nbar,eigenmode_rank_by_abs_eigenvalue,eigenvalue_per_gate,jump_axis_expression,axis_IX,axis_IY,axis_IZ,axis_XI,axis_XX,axis_XY,axis_XZ,axis_YI,axis_YX,axis_YY,axis_YZ,axis_ZI,axis_ZX,axis_ZY,axis_ZZ
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,1.0,6,-7.903476016119215e-09,-0.095511*IX -0.591705*IZ +0.095505*XI +0.621022*XY +0.074284*XZ +0.157063*YI +0.114654*YY -0.129412*YZ -0.389168*ZI +0.147801*ZX -0.084849*ZY,-0.09551061470286908,0.053040396209488895,-0.591705345748713,0.09550484120563339,-2.9929085785704228e-05,0.6210217246683982,0.0742843536225675,0.15706275180889126,0.034642285612733865,0.11465395619633328,-0.1294120422781867,-0.389168123328904,0.14780068478453698,-0.08484934943309201,0.0371996547704748
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,1.0,7,5.599968251153402e-09,+0.071597*IX -0.173463*IY +0.147228*IZ -0.071598*XI +0.225263*XY -0.088071*XZ -0.219297*YI -0.246003*YY -0.354856*YZ +0.129174*ZI -0.084962*ZX -0.382838*ZY +0.686783*ZZ,0.07159726631837172,-0.1734626322505085,0.1472278926198519,-0.07159795572357974,-1.3093551019004006e-05,0.22526307965537004,-0.08807100584144094,-0.2192972779476929,-0.05301386377532172,-0.24600338432703844,-0.3548557749737984,0.12917362794780843,-0.08496183381137574,-0.38283758948665375,0.6867832689110791
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,1.0,8,5.0131893168335365e-09,+0.126679*IY -0.098694*IZ -0.156040*XY +0.153713*YI +0.486408*YZ -0.158765*ZI +0.173500*ZX +0.417991*ZY +0.675410*ZZ,0.02399843377197266,0.12667909381178286,-0.09869357695562934,-0.024004468236458704,4.667485327181087e-07,-0.1560396203829879,0.01818943399840081,0.15371273108118108,0.02549010211980499,-0.036160907418857274,0.4864076089191027,-0.15876454006457602,0.1734997682927864,0.41799093665295334,0.6754098999536423
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,1.0,9,-4.139396172870319e-09,+0.128307*IX +0.698135*IY -0.128306*XI +0.070187*XY +0.442184*XZ -0.284046*YI -0.230515*YY -0.263884*YZ +0.128833*ZI +0.236872*ZY,0.12830731215495333,0.6981350103381698,-0.03288112457904317,-0.12830647079622617,1.6754615304317353e-06,0.07018659341786385,0.44218367981476525,-0.2840456271342242,-0.04202241613430954,-0.23051459142409123,-0.2638838674947763,0.12883286523627496,0.0047333155570178755,0.23687196666561391,-0.01415427230728643
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,1.0,10,1.3676893125358862e-09,+0.130885*IY +0.224193*IZ +0.386872*XY -0.198641*XZ +0.161117*YI +0.666632*YX +0.142456*YY +0.440031*ZI +0.204538*ZX +0.105164*ZY,0.04715972192204764,0.13088485432318928,0.2241929864013464,-0.047157134913081954,2.2745496445646344e-05,0.38687157656724414,-0.19864133625585204,0.16111676488791404,0.6666320897478827,0.14245571796121012,0.043098515513892134,0.4400313102784533,0.2045377029189832,0.10516418933131563,0.0001611905496422043
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,1.0,11,-6.929789620980528e-10,-0.366110*IX -0.150593*IY -0.209594*IZ +0.366107*XI +0.054384*XZ -0.098261*YI -0.071119*YX +0.290101*YY -0.212345*YZ +0.395474*ZI -0.399649*ZX +0.422347*ZY +0.153732*ZZ,-0.3661095855888814,-0.15059296802441613,-0.2095942898025705,0.36610746158281904,2.1471472378459165e-05,0.01649557128184096,0.054383951027884014,-0.09826059451436839,-0.07111900003954852,0.29010080879403927,-0.21234466672977967,0.39547384736038005,-0.3996488324969576,0.4223472157748977,0.15373240981407565
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,1.0,12,4.1552949434611635e-10,-0.228125*IX -0.144646*IY -0.311781*IZ +0.228122*XI -0.374260*XY -0.130395*YI +0.227779*YX -0.365643*YY -0.252844*YZ +0.121655*ZI +0.593205*ZX,-0.22812540450892804,-0.14464562278878415,-0.31178050951525255,0.2281222345564277,-1.8865942064851753e-05,-0.374260250769795,-0.056095302931592574,-0.1303945559816092,0.22777853126772338,-0.3656429116331919,-0.2528439060507362,0.12165516699281878,0.593205451574862,0.01221624840644363,-0.03492394006788535
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,1.0,13,2.8073261422171774e-10,-0.456573*IY +0.110787*IZ +0.135476*XY +0.731417*XZ -0.309524*YI +0.169866*YX +0.109367*YY +0.251629*YZ +0.153647*ZX,0.0190890664635974,-0.45657280822273993,0.11078740034852376,-0.01909558534998342,4.5656543435254876e-05,0.13547618592648686,0.7314173354837504,-0.3095244897764131,0.16986583766751,0.10936727640893334,0.25162887083334123,0.018892551377761704,0.15364688588273973,-0.0335966932651849,-0.013495813879303539
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,1.0,14,-2.686746997032955e-10,-0.137112*IY +0.328456*XZ +0.692816*YI -0.546532*YY +0.187746*ZI -0.227587*ZX,-0.035131601558689926,-0.13711212989927687,-0.006312881220873988,0.035135708585841634,-2.076642280751947e-05,0.05376987251138358,0.32845642351017446,0.692815560154232,-0.003255406197949543,-0.5465317242736484,-0.010094842442441219,0.18774641837149936,-0.2275867547917338,-0.0009643203994850066,-0.04548223970346954
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,1.0,15,-1.300942924361669e-10,+0.508899*IX -0.289017*IY -0.371979*IZ -0.508899*XI -0.208990*XY +0.091920*YI +0.140139*YX +0.169325*YY -0.309058*YZ +0.065051*ZI -0.084313*ZX +0.229338*ZY,0.5088992343783424,-0.2890165370004839,-0.37197932794326927,-0.5088988003321131,3.2326307930963538e-06,-0.20899040063826074,0.0022892348470124305,0.09192045858180217,0.1401391545541372,0.16932504614640767,-0.3090583827261163,0.06505090149086849,-0.0843133019945665,0.22933845966052216,0.01578869022287455
