noise_source,noise_title,nominal_rate_s^-1,nbar,pauli,pauli_weight,mode_class,delta_h_rad_per_gate,delta_gamma_per_gate,dh_drate_s,dgamma_drate_s
motional_dephasing,Motional dephasing,18.0,2.0,YI,1,local,-1.1416294340817708e-08,1.8925935369208198e-09,-6.342385744898727e-10,1.0514408538448999e-10
motional_dephasing,Motional dephasing,18.0,2.0,YX,2,weight2,-1.8399688557528904e-08,-8.262751395446424e-11,-1.0222049198627168e-09,-4.59041744191468e-12
motional_dephasing,Motional dephasing,18.0,2.0,YY,2,weight2,4.093798270144531e-09,2.649356986716378e-10,2.274332372302517e-10,1.4718649926202097e-11
motional_dephasing,Motional dephasing,18.0,2.0,YZ,2,weight2,1.91447666964341e-09,8.734553519311121e-10,1.0635981498018944e-10,4.852529732950623e-11
motional_dephasing,Motional dephasing,18.0,2.0,ZI,1,local,-4.255073392690856e-10,-3.152321418864417e-09,-2.363929662606031e-11,-1.7512896771468984e-10
motional_dephasing,Motional dephasing,18.0,2.0,ZX,2,weight2,2.5767891452187495e-09,-4.291592174886448e-09,1.4315495251215276e-10,-2.3842178749369155e-10
motional_dephasing,Motional dephasing,18.0,2.0,ZY,2,weight2,1.5490134098685408e-08,1.7110714517005832e-10,8.605630054825227e-10,9.505952509447685e-12
motional_dephasing,Motional dephasing,18.0,2.0,ZZ,2,weight2,-2.0554307701451135e-15,5.585598203381551e-10,-1.141905983413952e-16,3.10311011298975e-11
motional_dephasing,Motional dephasing,18.0,3.0,IX,1,local,-1.029511814857084e-09,0.0014225386881565583,-5.719510082539356e-11,7.90299271198088e-05
motional_dephasing,Motional dephasing,18.0,3.0,IY,1,local,-1.7883650726458394e-09,3.4330933197722173e-09,-9.935361514699108e-11,1.9072740665401207e-10
motional_dephasing,Motional dephasing,18.0,3.0,IZ,1,local,1.080583294318986e-10,3.6912315918187515e-09,6.0032405239943666e-12,2.0506842176770843e-10
motional_dephasing,Motional dephasing,18.0,3.0,XI,1,local,8.180676034533844e-10,0.0014225107974971344,4.5448200191854685e-11,7.902837763872968e-05
motional_dephasing,Motional dephasing,18.0,3.0,XX,2,weight2,-0.00016063831638847122,0.00013954491265465497,-8.924350910470623e-06,7.752495147480832e-06
motional_dephasing,Motional dephasing,18.0,3.0,XY,2,weight2,-3.780581303433628e-09,4.174700534663826e-09,-2.1003229463520157e-10,2.3192780748132366e-10
motional_dephasing,Motional dephasing,18.0,3.0,XZ,2,weight2,3.882747260874453e-09,-3.7177672166830506e-10,2.1570818115969182e-10,-2.0654262314905836e-11
motional_dephasing,Motional dephasing,18.0,3.0,YI,1,local,1.7783642060607537e-09,-6.527585561882048e-10,9.879801144781965e-11,-3.6264364232678046e-11
motional_dephasing,Motional dephasing,18.0,3.0,YX,2,weight2,5.776402044108301e-09,2.1632961097831922e-09,3.209112246726834e-10,1.2018311721017734e-10
motional_dephasing,Motional dephasing,18.0,3.0,YY,2,weight2,8.50320468645621e-09,1.2264771058542431e-08,4.724002603586784e-10,6.81376169919024e-10
motional_dephasing,Motional dephasing,18.0,3.0,YZ,2,weight2,-2.938262635994754e-09,5.61954835246847e-09,-1.6323681311081967e-10,3.121971306926928e-10
motional_dephasing,Motional dephasing,18.0,3.0,ZI,1,local,-1.4771382434675586e-09,3.733398882948387e-09,-8.20632357481977e-11,2.074110490526882e-10
motional_dephasing,Motional dephasing,18.0,3.0,ZX,2,weight2,2.8988821285170997e-09,2.9074737912833527e-09,1.6104900713983887e-10,1.6152632173796404e-10
motional_dephasing,Motional dephasing,18.0,3.0,ZY,2,weight2,1.0098813162102428e-09,1.2688433411870045e-08,5.610451756723571e-11,7.049129673261136e-10
motional_dephasing,Motional dephasing,18.0,3.0,ZZ,2,weight2,-2.303567407952488e-15,1.1659326688461567e-08,-1.2797596710847157e-16,6.477403715811982e-10
motional_dephasing,Motional dephasing,18.0,4.0,IX,1,local,-1.175231367323112e-08,0.001789360518638587,-6.529063151795067e-10,9.940891770214372e-05
motional_dephasing,Motional dephasing,18.0,4.0,IY,1,local,3.299951873659686e-11,6.8595318669997796e-09,1.8333065964776033e-12,3.8108510372221e-10
motional_dephasing,Motional dephasing,18.0,4.0,IZ,1,local,-3.6965007413443515e-09,7.167048225532388e-09,-2.053611522969084e-10,3.9816934586291043e-10
motional_dephasing,Motional dephasing,18.0,4.0,XI,1,local,2.5648022058386172e-08,0.001789351482253519,1.4248901143547874e-09,9.940841568075106e-05
motional_dephasing,Motional dephasing,18.0,4.0,XX,2,weight2,-0.00024044456522136215,0.00012776855862290257,-1.3358031401186786e-05,7.098253256827921e-06
motional_dephasing,Motional dephasing,18.0,4.0,XY,2,weight2,-2.72037499348649e-08,9.808009861829065e-09,-1.5113194408258279e-09,5.448894367682814e-10
motional_dephasing,Motional dephasing,18.0,4.0,XZ,2,weight2,6.484270708873842e-09,3.293913699229915e-09,3.6023726160410234e-10,1.8299520551277304e-10
motional_dephasing,Motional dephasing,18.0,4.0,YI,1,local,-8.634856878189552e-09,5.796132951422201e-09,-4.797142710105307e-10,3.220073861901223e-10
motional_dephasing,Motional dephasing,18.0,4.0,YX,2,weight2,8.67904427611652e-09,1.1549631378550235e-09,4.821691264509177e-10,6.416461876972353e-11
motional_dephasing,Motional dephasing,18.0,4.0,YY,2,weight2,1.2540844871566012e-08,-1.6358869652465152e-09,6.967136039758896e-10,-9.088260918036195e-11
motional_dephasing,Motional dephasing,18.0,4.0,YZ,2,weight2,2.9138829998007132e-08,3.346595533222778e-09,1.618823888778174e-09,1.859219740679321e-10
