noise_source,noise_title,nominal_rate_s^-1,nbar,sector,mode,coefficient_per_gate,coefficient_per_rate_s
motional_dephasing,Motional dephasing,18.0,0.01,A,"YI,YZ",7.73063282822007e-10,4.294796015677817e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"YI,ZI",-9.592416449500636e-10,-5.3291202497225756e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"YI,ZX",1.4326640748578163e-09,7.959244860321201e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"YI,ZY",-6.446688726960738e-11,-3.5814937372004096e-12
motional_dephasing,Motional dephasing,18.0,0.01,A,"YI,ZZ",6.33107259380812e-10,3.5172625521156223e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"YX,YY",3.4884717260013354e-09,1.9380398477785197e-10
motional_dephasing,Motional dephasing,18.0,0.01,A,"YX,YZ",-1.6984016852058576e-09,-9.435564917810319e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"YX,ZI",-2.0618140374474548e-09,-1.1454522430263637e-10
motional_dephasing,Motional dephasing,18.0,0.01,A,"YX,ZX",2.5283869698252756e-10,1.4046594276807086e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"YX,ZY",1.2136378270751216e-09,6.742432372639564e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"YX,ZZ",7.447992391097518e-10,4.137773550609732e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"YY,YZ",-6.51313883991277e-10,-3.618410466618205e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"YY,ZI",-2.4641907506988644e-09,-1.3689948614993692e-10
motional_dephasing,Motional dephasing,18.0,0.01,A,"YY,ZX",1.2552290595798813e-09,6.973494775443785e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"YY,ZY",7.480575370932685e-10,4.155875206073714e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"YY,ZZ",3.640309477208682e-09,2.0223941540048233e-10
motional_dephasing,Motional dephasing,18.0,0.01,A,"YZ,ZI",1.1623916837929176e-09,6.45773157662732e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"YZ,ZX",-1.1327725888373308e-09,-6.293181049096282e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"YZ,ZY",-1.3969215196331672e-09,-7.760675109073151e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"YZ,ZZ",-8.474800187801168e-10,-4.708222326556204e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"ZI,ZX",-1.4148788395274735e-09,-7.860437997374853e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"ZI,ZY",-1.3060360802772563e-10,-7.255756001540312e-12
motional_dephasing,Motional dephasing,18.0,0.01,A,"ZI,ZZ",-2.069274204731889e-10,-1.149596780406605e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"ZX,ZY",-1.2073184302207341e-09,-6.707324612337412e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"ZX,ZZ",5.02114495516605e-10,2.7895249750922502e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"ZY,ZZ",-3.457358338487701e-09,-1.9207546324931673e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"IX,IY",1.7241389914924628e-09,9.578549952735904e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"IX,IZ",1.9594850491712514e-09,1.0886028050951396e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"IX,XI",0.00022170283558491986,1.2316824199162214e-05
motional_dephasing,Motional dephasing,18.0,0.01,C,"IX,XX",3.7819956021178535e-09,2.101108667843252e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"IX,XY",3.1953070369733303e-09,1.7751705760962945e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"IX,XZ",-5.432358339215967e-09,-3.017976855119982e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"IX,YI",1.1251774463730844e-09,6.250985813183802e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"IX,YX",2.4653536718091784e-09,1.3696409287828768e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"IX,YY",-5.823662026976022e-09,-3.2353677927644566e-10
