pair_id,source_x,source_y,multiplier_x,multiplier_y,strength_x_s^-1,strength_y_s^-1,condition_id,x_only_condition_id,y_only_condition_id,zero_condition_id,nbar,grid_infidelity,x_only_infidelity,y_only_infidelity,zero_infidelity,additive_prediction,interaction_infidelity,pair_noise_penalty,relative_interaction_to_pair_noise,interaction_per_multiplier_product,nominal_bilinear_coefficient,bilinear_prediction,bilinear_residual,relative_bilinear_residual,delta_heating_infidelity,delta_motional_dephasing_infidelity,independent_overlap,extra_interaction,multiplier_product,kappa_extra_per_multiplier_product,model1_extra_prediction,model1_total_C_prediction,multiplier_heating,multiplier_motional_dephasing,gamma_overlap_score,h_overlap_score,model2_extra_prediction,model2_total_C_prediction,model3_extra_prediction,model3_total_C_prediction
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.0,1.0,0.0,18.0,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,0.01,0.0007318486089153,0.0002487641440845,0.0007318486089153,0.0002487641440845,0.0007318486089152,1.0842021724855044e-19,0.0004830844648308,2.2443325161889555e-16,,-2.9278646569990026e-07,-0.0,1.0842021724855044e-19,,0.0,0.00048308446483080004,-0.0,1.0842021724855044e-19,0.0,6.276946112337146e-08,-0.0,-0.0,0.0,1.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.5,1.0,5.0,18.0,rates_935232b07d52685d,rates_d40c9e1dbffac54a,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,0.01,0.0009267712089849,0.0004438274759339,0.0007318486089153,0.0002487641440845,0.0009269119407647,-1.407317797999866e-07,0.0006780070649003,-0.0002075668338657,-2.814635595999732e-07,-2.9278646569990026e-07,-1.4639323284995013e-07,5.661453049963551e-09,0.0402286751294542,0.0001950633318494,0.00048308446483080004,-1.256427536994402e-07,-1.508902610054641e-08,0.5,6.276946112337146e-08,-3.138473056168573e-08,-1.5702748426112591e-07,0.5,1.0,5.4124653358174845e-08,-3.1781471337300655e-11,-9.391890776320576e-08,-2.1956166146264596e-07,-5.7371280149453333e-08,-1.8301403384889352e-07
motional_heating__motional_dephasing,motional_heating,motional_dephasing,1.0,1.0,10.0,18.0,rates_2524745c632f6db4,rates_a8953962d6e58e19,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,0.01,0.0011215243243913,0.0006387326460262,0.0007318486089153,0.0002487641440845,0.001121817110857,-2.9278646569990026e-07,0.0008727601803068,-0.0003354718424447,-2.9278646569990026e-07,-2.9278646569990026e-07,-2.9278646569990026e-07,0.0,0.0,0.00038996850194170004,0.00048308446483080004,-2.511836334151666e-07,-4.160283228473368e-08,1.0,6.276946112337146e-08,-6.276946112337146e-08,-3.13953094538538e-07,1.0,1.0,1.0824784323950332e-07,-6.364505485294899e-11,-1.8783527605246722e-07,-4.390189094676338e-07,-1.1474256029890667e-07,-3.6592619371407324e-07
motional_heating__motional_dephasing,motional_heating,motional_dephasing,2.0,1.0,20.0,18.0,rates_3fa0e6fcd1bc3bb5,rates_95304e3098130ea3,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,0.01,0.0015107096955505,0.0010282516239936,0.0007318486089153,0.0002487641440845,0.0015113360888244,-6.263932739000895e-07,0.001261945551466,-0.0004963710781122,-3.131966369500448e-07,-2.9278646569990026e-07,-5.855729313998005e-07,-4.0820342500288986e-08,-0.0651672746198738,0.0007794874799091,0.00048308446483080004,-5.020777227655954e-07,-1.2431555113449411e-07,2.0,6.276946112337146e-08,-1.2553892224674293e-07,-6.276166450123384e-07,2.0,1.0,2.164899389205791e-07,-1.2745379208415674e-10,-3.7566057874942404e-07,-8.777383015150194e-07,-2.2948512059781333e-07,-7.315628433634087e-07
motional_heating__motional_dephasing,motional_heating,motional_dephasing,4.0,1.0,40.0,18.0,rates_15e2db7947d1c0fd,rates_0e752ad71c6095d9,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,0.01,0.0022876247519466,0.0018057867413734,0.0007318486089153,0.0002487641440845,0.0022888712062042,-1.2464542576001714e-06,0.0020388606078621,-0.0006113484427496,-3.1161356440004284e-07,-2.9278646569990026e-07,-1.171145862799601e-06,-7.530839480057033e-08,-0.0604180974483278,0.0015570225972889,0.00048308446483080004,-1.0028979041876938e-06,-2.4355635341247757e-07,4.0,6.276946112337146e-08,-2.5107784449348585e-07,-1.2539757486811795e-06,4.0,1.0,4.329676368287811e-07,-2.546235188411816e-10,-7.512999164849839e-07,-1.7541978206726778e-06,-4.5897024119562667e-07,-1.4618681453833204e-06
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.0,2.0,0.0,36.0,rates_7f1e3dd0f07550fa,rates_7283b228c09abbcb,rates_7f1e3dd0f07550fa,rates_7283b228c09abbcb,0.01,0.0012134626861624,0.0002487641440845,0.0012134626861624,0.0002487641440845,0.0012134626861624,0.0,0.0009646985420778,0.0,,-2.9278646569990026e-07,-0.0,0.0,,0.0,0.0009646985420778999,-0.0,0.0,0.0,6.276946112337146e-08,-0.0,-0.0,0.0,2.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.5,2.0,5.0,36.0,rates_9cf49ad0d13c8639,rates_d40c9e1dbffac54a,rates_7f1e3dd0f07550fa,rates_7283b228c09abbcb,0.01,0.0014082326379621,0.0004438274759339,0.0012134626861624,0.0002487641440845,0.0014085260180118,-2.933800496999952e-07,0.0011594684938776,-0.0002530297729081,-2.933800496999952e-07,-2.9278646569990026e-07,-2.9278646569990026e-07,-5.935840000949322e-10,-0.0020232595934928,0.0001950633318494,0.0009646985420778999,-2.50903082463965e-07,-4.247696723603018e-08,1.0,6.276946112337146e-08,-6.276946112337146e-08,-3.1367254358733645e-07,0.5,2.0,1.0811184600450396e-07,-6.120989378106134e-11,-1.8759928910423807e-07,-4.385023715682031e-07,-1.1474256029890667e-07,-3.6564564276287166e-07
motional_heating__motional_dephasing,motional_heating,motional_dephasing,1.0,2.0,10.0,36.0,rates_590721c3770d8a77,rates_a8953962d6e58e19,rates_7f1e3dd0f07550fa,rates_7283b228c09abbcb,0.01,0.0016028287651266,0.0006387326460262,0.0012134626861624,0.0002487641440845,0.0016034311881041,-6.024229774999681e-07,0.0013540646210421,-0.0004448997249749,-3.012114887499841e-07,-2.9278646569990026e-07,-5.855729313998005e-07,-1.685004610016763e-08,-0.0279704571862359,0.00038996850194170004,0.0009646985420778999,-5.016027270392809e-07,-1.0082025046068728e-07,2.0,6.276946112337146e-08,-1.2553892224674293e-07,-6.271416492860239e-07,1.0,2.0,2.1622076846715447e-07,-1.2257803739015116e-10,-3.7519350518092515e-07,-8.76796232220206e-07,-2.2948512059781333e-07,-7.310878476370942e-07
motional_heating__motional_dephasing,motional_heating,motional_dephasing,2.0,2.0,20.0,36.0,rates_3f28f4785d99bb44,rates_95304e3098130ea3,rates_7f1e3dd0f07550fa,rates_7283b228c09abbcb,0.01,0.0019916930919459,0.0010282516239936,0.0012134626861624,0.0002487641440845,0.0019929501660715,-1.2570741256003569e-06,0.0017429289478613,-0.0007212423243889,-3.142685314000892e-07,-2.9278646569990026e-07,-1.171145862799601e-06,-8.592826280075587e-08,-0.0683557644301349,0.0007794874799091,0.0009646985420778999,-1.00262724724838e-06,-2.54446878351977e-07,4.0,6.276946112337146e-08,-2.5107784449348585e-07,-1.2537050917418657e-06,2.0,2.0,4.324300523994599e-07,-2.4547060575386153e-10,-7.5036708201308e-07,-1.7529943292614599e-06,-4.5897024119562667e-07,-1.4615974884440065e-06
motional_heating__motional_dephasing,motional_heating,motional_dephasing,4.0,2.0,40.0,36.0,rates_4e8eb8555c2e82a0,rates_0e752ad71c6095d9,rates_7f1e3dd0f07550fa,rates_7283b228c09abbcb,0.01,0.0027679817961564,0.0018057867413734,0.0012134626861624,0.0002487641440845,0.0027704852834513,-2.5034872949002314e-06,0.0025192176520719,-0.0009937558562442,-3.129359118625289e-07,-2.9278646569990026e-07,-2.342291725599202e-06,-1.6119556930102932e-07,-0.0643884111692499,0.0015570225972889,0.0009646985420778999,-2.002743239449262e-06,-5.007440554509692e-07,8.0,6.276946112337146e-08,-5.021556889869717e-07,-2.5048989284362337e-06,4.0,2.0,8.648356562169378e-07,-4.903939181113643e-10,-1.500691740029448e-06,-3.50343497947871e-06,-9.179404823912533e-07,-2.9206837218405154e-06
