noise_source,noise_title,multiplier,varied_strength_s^-1,condition_id,nbar,pauli,pauli_weight,mode_class,h_rad_per_gate,gamma_per_gate
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,3.0,ZZ,2,correlated,1.9362832813453867e-15,2.100882735053128e-08
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,4.0,IX,1,local,2.1995515864753338e-08,0.0006864748605409783
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,4.0,IY,1,local,2.8421432259304476e-09,0.00010728699736146081
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,4.0,IZ,1,local,3.694976763404218e-09,0.0001385538031774167
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,4.0,XI,1,local,6.497174593149964e-09,0.0006864895904230364
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,4.0,XX,2,correlated,0.0729512531672041,0.004165515214641414
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,4.0,XY,2,correlated,2.870216570745786e-08,0.00013851627198529202
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,4.0,XZ,2,correlated,1.0724403488584746e-09,0.00010730082466866457
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,4.0,YI,1,local,-1.0359512837305509e-09,0.00010730649656733045
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,4.0,YX,2,correlated,-1.0480117129969134e-08,0.0001385257255549922
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,4.0,YY,2,correlated,1.112516562177931e-09,0.0
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,4.0,YZ,2,correlated,-2.0449242529681708e-08,8.662480257972218e-09
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,4.0,ZI,1,local,-3.5783537239043626e-09,0.0001385443435798225
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,4.0,ZX,2,correlated,-1.5322244805788223e-09,0.00010728133149130108
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,4.0,ZY,2,correlated,9.72329533795397e-09,0.0
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,4.0,ZZ,2,correlated,1.0336510866799919e-15,1.7639422259657644e-08
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,0.01,IX,1,local,-1.1308493992561042e-08,0.000439766790180469
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,0.01,IY,1,local,1.8320801264151842e-09,7.135204353440974e-05
