noise_source,noise_title,multiplier,varied_strength_s^-1,condition_id,nbar,pauli,pauli_weight,mode_class,h_rad_per_gate,gamma_per_gate,rank_within_class
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,4.0,YX,2,correlated,9.987497238053683e-09,0.00013856577840811184,2
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,4.0,XY,2,correlated,3.927555856657508e-09,0.00013856389799737516,3
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,4.0,XI,1,local,1.0315346838112082e-08,0.0015847310601769863,1
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,4.0,IX,1,local,-1.941579529217241e-09,0.0015847204518836973,2
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,4.0,ZI,1,local,2.9576525375288973e-10,0.0001385849165323641,3
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,0.01,XY,2,correlated,4.308445887860059e-09,0.00017450344307439313,1
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,0.01,YX,2,correlated,-5.368854903815391e-10,0.00017450278706094115,2
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,0.01,XX,2,correlated,0.013736447028339389,0.00016386527935669193,3
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,0.01,XI,1,local,1.3828757756247916e-09,0.000550611275765521,1
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,0.01,IX,1,local,-6.004397287920888e-09,0.0005506084786575883,2
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,0.01,ZI,1,local,4.740428733971178e-11,0.00017450025379900903,3
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,1.0,XX,2,correlated,0.02880627467169461,0.0006158910031808071,1
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,1.0,XY,2,correlated,2.626645914980696e-09,0.00015042936564450842,2
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,1.0,YX,2,correlated,-4.741451268929992e-09,0.00015042890295126267,3
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,1.0,XI,1,local,6.068784605535182e-09,0.0010704333394205763,1
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,1.0,IX,1,local,1.0846679517510993e-08,0.0010704254569091842,2
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,1.0,ZI,1,local,-7.567167684142628e-10,0.00015043629350323357,3
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,2.0,XX,2,correlated,0.043739865582729485,0.0014847122636456828,1
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,2.0,YX,2,correlated,3.5756605304612067e-09,0.00014391241639640873,2
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,2.0,XY,2,correlated,-3.063666841863846e-09,0.0001439121240354926,3
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,2.0,IX,1,local,2.8861033918535912e-08,0.001566725304167278,1
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,2.0,XI,1,local,3.133300121929388e-08,0.0015667197327385255,2
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,2.0,IZ,1,local,2.5194294209897316e-10,0.000143913533121567,3
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,3.0,XX,2,correlated,0.0583773119797686,0.002723344384544099,1
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,3.0,XY,2,correlated,4.351726596501843e-09,0.00014065589568892136,2
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,3.0,YX,2,correlated,-5.967907246736348e-09,0.0001406527950492376,3
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,3.0,XI,1,local,3.170835876898074e-08,0.0020339702591774225,1
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,3.0,IX,1,local,1.3495218900022492e-08,0.002033946288596012,2
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,3.0,ZI,1,local,-2.0853888236074515e-10,0.00014066386813740248,3
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,4.0,XX,2,correlated,0.07271085859203336,0.00429310288793495,1
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,4.0,XY,2,correlated,6.322278501178176e-09,0.00013859706268990824,2
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,4.0,YX,2,correlated,-1.2996862622636972e-08,0.00013859638283894972,3
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,4.0,XI,1,local,6.752210987084111e-09,0.0024762036153670305,1
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,4.0,IX,1,local,6.768329192221085e-09,0.0024761999143451266,2
motional_dephasing,Motional dephasing,1.0,18.0,rates_5052894f24b711d8,4.0,ZI,1,local,1.1295248279434453e-10,0.00013863414370672122,3
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,0.01,XX,2,correlated,0.013728930787562352,0.0003251041686135154,1
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,0.01,XY,2,correlated,7.289866599694581e-10,0.00017451917861285304,2
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,0.01,YX,2,correlated,6.639436391863855e-09,0.0001745185669681169,3
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,0.01,IX,1,local,-1.16409142581679e-08,0.000771875104291474,1
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,0.01,XI,1,local,-3.262367053799783e-09,0.0007718657773568759,2
