condition_id,nbar,motional_heating_s^-1,motional_dephasing_s^-1,spin_dephasing_s^-1,photon_scattering_s^-1,h_XX_rad_per_gate,gamma_XX_per_gate,dominant_local_pauli,dominant_local_gamma_per_gate,dominant_correlated_pauli,dominant_correlated_gamma_per_gate,average_infidelity,abs_chi_II_XX,chi_XX_XX,generator_frobenius_norm,hamiltonian_fit_frobenius_norm,pauli_dissipator_fit_frobenius_norm,unmodeled_generator_frobenius_norm,generator_reconstruction_error,generator_imaginary_frobenius_norm,gamma_nnls_residual,cptp_projection_iterations,cptp_min_choi_eigenvalue,cptp_tp_frobenius_error,cptp_relative_final_step
rates_85cf44b10a0a8ca1,2.0,5.0,18.0,3.3333333333333335,4.0,0.04373559480519993,0.0014844642344641068,IX,0.0014493808862986017,XX,0.0014844642344641068,0.005794732659017932,0.04340467933075137,0.0033812246680010416,0.24880750480844316,0.24740588532801164,0.023775379377139545,0.011411997613883592,5.382489836094284e-15,2.320919193920802e-15,0.011411997603307376,1.0,1.6510893039183176e-07,1.1146307993071078e-16,6.981742550174997e-16
rates_85cf44b10a0a8ca1,3.0,5.0,18.0,3.3333333333333335,4.0,0.05837277512028374,0.002723021006639527,XI,0.0019188553080589157,XX,0.002723021006639527,0.008695906507376795,0.05767593733641805,0.006082130797962677,0.3322878152533389,0.3302062809940364,0.03389743904060373,0.015164688734458464,4.4650388523218605e-15,2.8199455835085677e-15,0.015164688682683267,6.0,-6.846146644375197e-13,1.1145621857291649e-16,1.4714900962321118e-12
rates_85cf44b10a0a8ca1,4.0,5.0,18.0,3.3333333333333335,4.0,0.07270585277100235,0.004292704857485139,XI,0.0023632402291514547,XX,0.004292704857485139,0.012103210548924093,0.07145905866154566,0.00946835276060777,0.41422602890756133,0.41128641221063356,0.04556666591463717,0.018718149290368157,5.393127350739216e-15,2.562110235143175e-15,0.018718149285746548,1.0,1.2615008034718012e-07,8.917206221254708e-18,1.2747080221801255e-15
rates_8a9b52e075933311,0.01,10.0,18.0,3.3333333333333335,8.0,0.013736517980131403,0.00016385510008988183,IX,0.0005755918713542603,YX,0.00028785688936422296,0.0025048065671549936,0.01370211717017768,0.00035251617538362633,0.07882317627589619,0.07770548010918786,0.012504010468562268,0.004312911015044693,4.568827679825308e-15,3.435132844280174e-15,0.00431291098548942,1.0,3.9970880109812735e-07,2.220447056485459e-16,6.021822518370139e-16
rates_8a9b52e075933311,1.0,10.0,18.0,3.3333333333333335,8.0,0.028806337091639066,0.0006158867891920346,IX,0.001095414587789558,XX,0.0006158867891920346,0.004201473701202474,0.028664052321476646,0.0014420642381658833,0.16428684404656874,0.16295325038917022,0.01911761339715367,0.008421530287480201,4.755004839939588e-15,2.48794590550382e-15,0.008421530280001971,1.0,4.948585182912097e-07,2.2234344414914365e-16,4.824845590840701e-16
rates_8a9b52e075933311,2.0,10.0,18.0,3.3333333333333335,8.0,0.043739907523769876,0.0014847054576890089,IX,0.00159171788063471,XX,0.0014847054576890089,0.006536193998626594,0.04337230557263876,0.0033798871172721298,0.2492631042715861,0.24743028174836976,0.02751657201716068,0.012376958004873186,4.5061120561533294e-15,3.2909699564684333e-15,0.01237695799572363,1.0,5.431276367000132e-07,1.118645389342958e-16,5.644760695768059e-16
rates_8a9b52e075933311,3.0,10.0,18.0,3.3333333333333335,8.0,0.058377395776671386,0.0027233580846084474,IX,0.0020589579052489315,XX,0.0027233580846084474,0.00943107394335927,0.05763061437087445,0.006078867910199655,0.3327488252130058,0.3302324193735862,0.03753486453167072,0.016107880676625976,4.592954574405838e-15,1.9472254766435565e-15,0.016107880652513666,1.0,2.851481164225616e-07,2.2214685723028337e-16,8.708430944678477e-16
rates_8a9b52e075933311,4.0,10.0,18.0,3.3333333333333335,8.0,0.07271091599290258,0.004293101624669715,XI,0.002501191209804645,XX,0.004293101624669715,0.0128317925002559,0.0714014816505032,0.009462516241065208,0.4147015807884969,0.411315054118954,0.04910729068291446,0.019641826936000025,4.712158371513638e-15,3.0852755648823583e-15,0.01964182693203893,1.0,5.221498674291944e-07,4.813186043233959e-18,8.864163880724336e-16
rates_8ae24337088cca02,0.01,10.0,18.0,3.3333333333333335,2.0,0.013736439594928514,0.00016385451209740122,XI,0.0005381222067254415,XX,0.00016385451209740122,0.0016672167696510699,0.01371643445743625,0.00035270131262408485,0.07825786143748527,0.07770503669552264,0.008269722262063047,0.00422277664865975,6.532537884946038e-15,2.69478098148651e-15,0.004222776639503,4.0,-1.1494938540631711e-12,1.110856312320895e-16,2.6119077650449305e-12
rates_8ae24337088cca02,1.0,10.0,18.0,3.3333333333333335,2.0,0.028806256407968144,0.0006158889358040584,IX,0.001057943502863937,XX,0.0006158889358040584,0.003365674758033688,0.02869408639095608,0.0014433746057766724,0.16386091772574166,0.1629527939734184,0.015055922485378168,0.008372961978487487,4.990245584927035e-15,2.7409766379862957e-15,0.008372961974295021,1.0,3.345173244391894e-08,5.043520653579049e-18,1.4988197372857973e-15
rates_8ae24337088cca02,2.0,10.0,18.0,3.3333333333333335,2.0,0.04373983975557056,0.0014847149427139887,IX,0.0015542276185072136,XX,0.0014847149427139887,0.005702876874650986,0.04341780452479875,0.0033832076951965315,0.24885450895397718,0.24742989839364687,0.0235524017038979,0.01234084201393465,7.02699312061776e-15,2.7763123851962653e-15,0.012340841999855913,1.0,3.236974706591155e-08,1.1146824136265154e-16,2.5770220635948785e-16
rates_8ae24337088cca02,3.0,10.0,18.0,3.3333333333333335,2.0,0.05837730821381574,0.002723333255583216,IX,0.002021462811034646,XX,0.002723333255583216,0.00860079555719846,0.05769107740745137,0.006084953714335248,0.3323310389321557,0.33023192404328505,0.03364976691470543,0.016077592076611715,7.813952906820787e-15,1.6751662907346567e-15,0.016077592064327968,6.0,-7.617314144447234e-13,1.5784310080086596e-16,1.5469684024843278e-12
rates_8ae24337088cca02,4.0,10.0,18.0,3.3333333333333335,2.0,0.0727108288796364,0.00429309069047905,IX,0.0024637044110225803,XX,0.00429309069047905,0.012005124151625246,0.07147641175409558,0.009472138951693375,0.4142654722243215,0.4113145613318934,0.045293147617425804,0.019614889561202175,3.607281562143382e-15,2.4020632606848705e-15,0.019614889555839583,5.0,-2.3191078719134755e-12,2.4836941625853393e-16,4.993369091764094e-12
rates_955f664628d0ac20,0.01,0.0,18.0,3.3333333333333335,4.0,0.013728606312715861,0.00016371404428650342,IX,0.0003066700184668055,XY,0.00017450551696648623,0.0015572765381945076,0.013703377536166772,0.0003518405619942239,0.07805060442691064,0.07766072495976568,0.007436172633166722,0.002326367705126211,5.550466524783254e-15,2.0478926540367213e-15,0.0023263676958010415,1.0,1.4883097001343062e-07,2.8535208698927484e-18,8.599642647038503e-16
rates_955f664628d0ac20,1.0,0.0,18.0,3.3333333333333335,4.0,0.028798192090395858,0.0006155818207841208,XI,0.0008311668222145998,XX,0.0006155818207841208,0.0032636703823535566,0.02868213942081412,0.001441512589377034,0.16364922235744672,0.16290717530426616,0.01415529958550112,0.006476704889590632,5.9744907067909395e-15,2.683396526920179e-15,0.006476704884840697,1.0,1.3258888470991766e-07,2.2204759521065453e-16,5.201413820735895e-16
rates_955f664628d0ac20,2.0,0.0,18.0,3.3333333333333335,4.0,0.043731339550156366,0.0014842166417713292,XI,0.001332033045831638,XX,0.0014842166417713292,0.005608595275837836,0.04340704508047707,0.0033804429368397932,0.24864197539176533,0.2473818139704432,0.022701315254237273,0.010474747211270424,4.072423335364155e-15,3.2467639021657975e-15,0.010474747199561549,1.0,1.4406754554260338e-07,2.222891848457523e-16,5.793498246021196e-16
