time,baseline_amplitude,optimized_amplitude,detuning
2.7646015351590183,0.125,0.039311300035622054,0.5
2.796017461694916,0.125,0.0360353583659869,0.5
2.8274333882308142,0.125,0.032759416696351684,0.5
2.858849314766712,0.125,0.029483475026716527,0.5
2.8902652413026098,0.125,0.02620753335708137,0.5
2.921681167838508,0.125,0.022931591687446184,0.5
2.9530970943744057,0.125,0.019655650017811027,0.5
2.984513020910304,0.125,0.016379708348175814,0.5
3.0159289474462017,0.125,0.013103766678540657,0.5
3.0473448739820994,0.125,0.0098278250089055,0.5
3.0787608005179976,0.125,0.006551883339270315,0.5
3.1101767270538954,0.125,0.0032759416696351573,0.5
3.1415926535897936,0.125,4.8982343515671524e-17,0.5
3.1730085801256913,0.125,0.003465127436813919,0.5
3.204424506661589,0.125,0.006930254873627789,0.5
3.2358404331974873,0.125,0.010395382310441709,0.5
3.267256359733385,0.125,0.013860509747255579,0.5
3.298672286269283,0.125,0.017325637184069497,0.5
3.330088212805181,0.125,0.020790764620883365,0.5
3.3615041393410787,0.125,0.024255892057697237,0.5
3.392920065876977,0.125,0.027721019494511157,0.5
3.4243359924128747,0.125,0.031186146931325025,0.5
3.455751918948773,0.125,0.034651274368138946,0.5
3.4871678454846706,0.125,0.038116401804952814,0.5
3.518583772020569,0.125,0.04158152924176673,0.5
3.5499996985564666,0.125,0.045046656678580606,0.5
3.5814156250923643,0.125,0.048511784115394474,0.5
3.6128315516282625,0.125,0.05197691155220839,0.5
3.6442474781641603,0.125,0.055442038989022266,0.5
3.6756634047000585,0.125,0.05890716642583618,0.5
3.7070793312359562,0.125,0.06237229386265005,0.5
3.738495257771854,0.125,0.06583742129946392,0.5
3.769911184307752,0.125,0.06930254873627784,0.5
3.80132711084365,0.125,0.07276767617309171,0.5
3.832743037379548,0.125,0.07623280360990563,0.5
3.864158963915446,0.125,0.0796979310467195,0.5
3.8955748904513436,0.125,0.08316305848353336,0.5
3.926990816987242,0.125,0.0866281859203473,0.5
3.9584067435231396,0.125,0.09009331335716116,0.5
3.989822670059038,0.125,0.09355844079397507,0.5
4.0212385965949355,0.125,0.09702356823078895,0.5
4.052654523130833,0.125,0.10048869566760282,0.5
4.084070449666731,0.125,0.10395382310441668,0.5
4.11548637620263,0.125,0.10741895054123066,0.5
4.1469023027385274,0.125,0.11088407797804453,0.5
4.178318229274425,0.125,0.1143492054148584,0.5
4.209734155810323,0.125,0.11781433285167227,0.5
4.241150082346221,0.125,0.12127946028848613,0.5
4.272566008882119,0.125,0.1247445877253001,0.5
4.303981935418017,0.125,0.12820971516211396,0.5
4.335397861953915,0.125,0.13167484259892784,0.5
4.366813788489813,0.125,0.1351399700357417,0.5
4.39822971502571,0.125,0.1386050974725556,0.5
4.429645641561609,0.125,0.14207022490936955,0.5
4.461061568097507,0.125,0.14553535234618342,0.5
4.4924774946334045,0.125,0.1490004797829973,0.5
4.523893421169302,0.125,0.15246560721981117,0.5
4.5553093477052,0.125,0.15593073465662502,0.5
4.586725274241099,0.125,0.159395862093439,0.5
4.618141200776996,0.125,0.16286098953025288,0.5
4.649557127312894,0.125,0.16632611696706673,0.5
4.680973053848792,0.125,0.1697912444038806,0.5
4.71238898038469,0.125,0.17325637184069448,0.5
4.743804906920588,0.125,0.17319652302362695,0.5
4.775220833456486,0.125,0.17313667420655943,0.5
4.806636759992384,0.125,0.1730768253894919,0.5
4.838052686528282,0.125,0.17301697657242437,0.5
4.869468613064179,0.125,0.17295712775535685,0.5
4.900884539600078,0.125,0.17289727893828932,0.5
4.932300466135976,0.125,0.1728374301212218,0.5
4.9637163926718735,0.125,0.17277758130415427,0.5
4.995132319207771,0.125,0.17271773248708674,0.5
5.026548245743669,0.125,0.17265788367001922,0.5
5.057964172279568,0.125,0.1725980348529517,0.5
5.089380098815465,0.125,0.17253818603588417,0.5
5.120796025351363,0.125,0.17247833721881664,0.5
5.152211951887261,0.125,0.17241848840174911,0.5
5.1836278784231595,0.125,0.1723586395846816,0.5
5.215043804959057,0.125,0.17229879076761406,0.5
5.246459731494955,0.125,0.17223894195054654,0.5
5.277875658030853,0.125,0.172179093133479,0.5
5.3092915845667505,0.125,0.17211924431641148,0.5
5.340707511102649,0.125,0.17205939549934396,0.5
5.372123437638547,0.125,0.17199954668227643,0.5
5.403539364174445,0.125,0.1719396978652089,0.5
5.4349552907103424,0.125,0.17187984904814138,0.5
5.46637121724624,0.125,0.17182000023107386,0.5
5.497787143782139,0.125,0.17176015141400633,0.5
5.529203070318037,0.125,0.1717003025969388,0.5
5.560618996853934,0.125,0.17164045377987128,0.5
5.592034923389832,0.125,0.17158060496280375,0.5
5.62345084992573,0.125,0.17152075614573623,0.5
5.6548667764616285,0.125,0.1714609073286687,0.5
5.686282702997526,0.125,0.17140105851160117,0.5
5.717698629533424,0.125,0.17134120969453365,0.5
5.749114556069322,0.125,0.17128136087746612,0.5
5.7805304826052195,0.125,0.1712215120603986,0.5
5.811946409141118,0.125,0.17116166324333107,0.5
5.843362335677016,0.125,0.17110181442626354,0.5
5.874778262212914,0.125,0.17104196560919602,0.5
5.906194188748811,0.125,0.1709821167921285,0.5
5.937610115284709,0.125,0.17092226797506097,0.5
5.969026041820608,0.125,0.17086241915799344,0.5
6.000441968356506,0.125,0.1708025703409259,0.5
6.031857894892403,0.125,0.1707427215238584,0.5
6.063273821428301,0.125,0.17068287270679086,0.5
6.094689747964199,0.125,0.17062302388972334,0.5
6.1261056745000975,0.125,0.1705631750726558,0.5
6.157521601035995,0.125,0.17050332625558828,0.5
6.188937527571893,0.125,0.17044347743852076,0.5
6.220353454107791,0.125,0.17038362862145323,0.5
6.2517693806436885,0.125,0.1703237798043857,0.5
6.283185307179587,0.125,0.17026393098731818,0.5
6.314601233715485,0.125,0.1703237798043857,0.5
6.346017160251383,0.125,0.17038362862145323,0.5
6.37743308678728,0.125,0.17044347743852076,0.5
6.408849013323178,0.125,0.17050332625558828,0.5
6.440264939859077,0.125,0.1705631750726558,0.5
6.4716808663949745,0.125,0.17062302388972334,0.5
6.503096792930872,0.125,0.17068287270679086,0.5
6.53451271946677,0.125,0.1707427215238584,0.5
6.565928646002668,0.125,0.1708025703409259,0.5
6.597344572538566,0.125,0.17086241915799344,0.5
6.628760499074464,0.125,0.17092226797506097,0.5
6.660176425610362,0.125,0.1709821167921285,0.5
6.69159235214626,0.125,0.17104196560919602,0.5
6.7230082786821574,0.125,0.17110181442626354,0.5
6.754424205218056,0.125,0.17116166324333107,0.5
6.785840131753954,0.125,0.1712215120603986,0.5
6.817256058289852,0.125,0.17128136087746612,0.5
6.848671984825749,0.125,0.17134120969453365,0.5
6.880087911361647,0.125,0.17140105851160117,0.5
6.911503837897546,0.125,0.1714609073286687,0.5
6.9429197644334435,0.125,0.17152075614573623,0.5
6.974335690969341,0.125,0.17158060496280375,0.5
7.005751617505239,0.125,0.17164045377987128,0.5
7.037167544041138,0.125,0.1717003025969388,0.5
7.068583470577035,0.125,0.17176015141400633,0.5
7.099999397112933,0.125,0.17182000023107386,0.5
7.131415323648831,0.125,0.17187984904814138,0.5
7.162831250184729,0.125,0.1719396978652089,0.5
7.194247176720627,0.125,0.17199954668227643,0.5
7.225663103256525,0.125,0.17205939549934396,0.5
7.257079029792423,0.125,0.17211924431641148,0.5
7.288494956328321,0.125,0.172179093133479,0.5
7.319910882864218,0.125,0.17223894195054654,0.5
7.351326809400117,0.125,0.17229879076761406,0.5
7.382742735936015,0.125,0.1723586395846816,0.5
7.4141586624719125,0.125,0.17241848840174911,0.5
7.44557458900781,0.125,0.17247833721881664,0.5
7.476990515543708,0.125,0.17253818603588417,0.5
7.508406442079607,0.125,0.1725980348529517,0.5
7.539822368615504,0.125,0.17265788367001922,0.5
7.571238295151402,0.125,0.17271773248708674,0.5
7.6026542216873,0.125,0.17277758130415427,0.5
7.634070148223198,0.125,0.1728374301212218,0.5
7.665486074759096,0.125,0.17289727893828932,0.5
7.696902001294994,0.125,0.17295712775535685,0.5
7.728317927830892,0.125,0.17301697657242437,0.5
7.7597338543667895,0.125,0.1730768253894919,0.5
7.791149780902687,0.125,0.17313667420655943,0.5
7.822565707438586,0.125,0.17319652302362695,0.5
7.853981633974484,0.125,0.17325637184069437,0.5
7.885397560510381,0.125,0.16979124440388052,0.5
7.916813487046279,0.125,0.16632611696706665,0.5
