n_bar,channel,row,col,row_pauli,col_pauli,delta_real,delta_imag,delta_abs,baseline_abs,optimized_abs
1.0,exact,0,5,II,XX,9.614778815954825e-05,-7.99211549823986e-05,0.0001250271497783339,0.4970012855031437,0.49708101463313736
1.0,exact,4,1,XI,IX,-9.614778815954358e-05,3.257444893455288e-09,9.614778821472399e-05,0.0010399328160224089,0.0009437850278645742
1.0,exact,1,4,IX,XI,-9.614778815953556e-05,-3.2574449088508104e-09,9.614778821471596e-05,0.0010399328160224026,0.0009437850278645759
1.0,exact,1,1,IX,IX,-8.968090688512957e-05,1.2984217933261014e-17,8.968090688512957e-05,0.0010649599208791614,0.0009752790139940319
1.0,exact,4,4,XI,XI,-8.965489551096507e-05,3.630885374363222e-18,8.965489551096507e-05,0.0010649509599150967,0.0009752960644041316
1.0,exact,12,12,ZI,ZI,3.476147634183513e-05,-3.9815097893074956e-17,3.476147634183513e-05,0.00020431338149456973,0.00023907485783640487
1.0,exact,3,3,IZ,IZ,3.475695667599216e-05,-2.161044847081295e-17,3.475695667599216e-05,0.00020431600798836302,0.00023907296466435518
1.0,exact,2,2,IY,IY,2.6554671615076192e-05,-2.0294133681421136e-18,2.6554671615076192e-05,0.00014572034806799699,0.00017227501968307318
1.0,exact,8,8,YI,YI,2.6551109015186185e-05,1.069783046255618e-18,2.6551109015186185e-05,0.00014572302707838188,0.00017227413609356807
1.0,exact,6,6,XY,XY,1.4728121266741696e-05,2.7611703608216728e-18,1.4728121266741696e-05,9.602190142923506e-05,0.00011075002269597675
1.0,exact,9,9,YX,YX,1.4722711011255025e-05,1.7516197957001855e-17,1.4722711011255025e-05,9.60246967202025e-05,0.00011074740773145753
1.0,exact,13,13,ZX,ZX,7.944265818282029e-06,1.9551177972472908e-18,7.944265818282029e-06,4.5122405939260226e-05,5.3066671757542255e-05
1.0,exact,7,7,XZ,XZ,7.93981524726483e-06,1.7692480130480554e-18,7.93981524726483e-06,4.512525374539336e-05,5.306506899265819e-05
1.0,exact,2,7,IY,XZ,-6.835292081707234e-08,-7.394128795777293e-10,6.835692002739332e-08,7.4395862223736685e-09,7.549929834205773e-08
1.0,exact,7,2,XZ,IY,-6.835292075659925e-08,7.394128821798166e-10,6.835691996695192e-08,7.439586239558411e-09,7.549929829889728e-08
1.0,exact,8,13,YI,ZX,-6.361510123625394e-08,-2.9301570010278997e-10,6.361577605829662e-08,9.334380202496433e-09,7.274756844896707e-08
1.0,exact,13,8,ZX,YI,-6.361510122782256e-08,2.9301572320985084e-10,6.361577604997175e-08,9.334380215605775e-09,7.274756845068841e-08
1.0,post_gate_error,5,0,XX,II,9.614778815959226e-05,0.0005710182707871041,0.000579056355409969,0.028695096113509885,0.02812106953900615
1.0,post_gate_error,0,5,II,XX,9.614778815954814e-05,-0.0005710182707870798,0.0005790563554099378,0.02869509611350987,0.028121069539006165
1.0,post_gate_error,1,4,IX,XI,-9.614778815954445e-05,-1.300568708989869e-08,9.614778903916894e-05,0.0010399328160314227,0.0009437850279007305
1.0,post_gate_error,4,1,XI,IX,-9.614778815953524e-05,1.3005687074513565e-08,9.614778903915972e-05,0.001039932816031415,0.0009437850279007319
1.0,post_gate_error,4,4,XI,XI,-8.967115864294865e-05,4.14616784036896e-18,8.967115864294865e-05,0.0010649565928434798,0.0009752854342005311
1.0,post_gate_error,1,1,IX,IX,-8.966464375314643e-05,1.2480971849072096e-17,8.966464375314643e-05,0.0010649542879507781,0.0009752896441976317
1.0,post_gate_error,0,0,II,II,8.556464917475193e-05,-2.383855726898501e-17,8.556464917475193e-05,0.9954439378156774,0.9955295024648522
1.0,post_gate_error,5,5,XX,XX,-7.427766079004614e-05,1.9642075276210854e-17,7.427766079004614e-05,0.001443542782525665,0.001369265121735619
1.0,post_gate_error,3,3,IZ,IZ,2.4799283039014688e-05,-1.3212417407003865e-17,2.4799283039014688e-05,0.00015017601484980383,0.00017497529788881852
1.0,post_gate_error,12,12,ZI,ZI,2.4798582343270206e-05,-9.99149291660131e-18,2.4798582343270206e-05,0.00015017591503987268,0.0001749744973831429
1.0,post_gate_error,6,6,XY,XY,2.468579490367401e-05,-5.660270215234282e-18,2.468579490367401e-05,0.0001501618945678133,0.0001748476894714873
1.0,post_gate_error,9,9,YX,YX,2.468560500980602e-05,-1.2305585535861318e-17,2.468560500980602e-05,0.0001501621631749101,0.00017484776818471612
1.0,post_gate_error,2,2,IY,IY,1.731559635195727e-05,-1.4264388686301428e-18,1.731559635195727e-05,9.542993483208073e-05,0.000112745531184038
1.0,post_gate_error,8,8,YI,YI,1.731130251796608e-05,-1.003860327116658e-17,1.731130251796608e-05,9.54318283272659e-05,0.00011274313084523198
1.0,post_gate_error,13,13,ZX,ZX,1.7184072315502033e-05,1.3068457534222355e-17,1.7184072315502033e-05,9.541360469037622e-05,0.00011259767700587826
1.0,post_gate_error,7,7,XZ,XZ,1.71788905103837e-05,1.175648639980345e-18,1.71788905103837e-05,9.541566698130959e-05,0.00011259455749169328
1.0,post_gate_error,12,9,ZI,YX,-1.0019382665314326e-05,-2.9301549010550984e-10,1.0019382669598925e-05,5.4144342425093674e-05,6.416372507590405e-05
1.0,post_gate_error,9,12,YX,ZI,-1.0019382665269223e-05,2.930155474344463e-10,1.0019382669553824e-05,5.4144342425116225e-05,6.416372507588151e-05
1.0,post_gate_error,3,6,IZ,XY,-1.0014417704646035e-05,-7.394129032463461e-10,1.001441773194325e-05,5.414705332070822e-05,6.416147099887175e-05
1.0,post_gate_error,6,3,XY,IZ,-1.001441770461134e-05,7.394129276087603e-10,1.0014417731908557e-05,5.414705332068567e-05,6.41614709988145e-05
4.0,exact,5,5,XX,XX,0.0005785477499635205,4.631486100462643e-18,0.0005785477499635205,0.4256385374001168,0.42621708515008033
4.0,exact,0,5,II,XX,0.00022444086128061346,-0.00022895476000073245,0.00032061500641638186,0.4875947378859421,0.4878226258903512
4.0,exact,5,0,XX,II,0.00022444086128062127,0.00022895476000067694,0.00032061500641634766,0.48759473788594215,0.4878226258903512
4.0,exact,0,0,II,II,-0.0003106782488453419,8.064054383829494e-18,0.0003106782488453419,0.5684794616571477,0.5681687834083023
4.0,exact,4,1,XI,IX,-0.00022444086128059872,-5.577709107412117e-09,0.00022444086134990615,0.0024246683387959354,0.0022002274775087777
4.0,exact,1,4,IX,XI,-0.00022444086128058094,5.577709136073257e-09,0.00022444086134988837,0.0024246683387959145,0.0022002274775087746
4.0,exact,1,1,IX,IX,-0.00021795995863923244,-1.4398981124548928e-17,0.00021795995863923244,0.0024496946684162122,0.00223173470977698
4.0,exact,4,4,XI,XI,-0.00021795836051095082,-2.554032396695408e-17,0.00021795836051095082,0.0024496977533160877,0.002231739392805137
4.0,exact,3,3,IZ,IZ,3.389718058765406e-05,-1.0984122540021563e-17,3.389718058765406e-05,0.00019851988821131117,0.00023241706879896523
4.0,exact,12,12,ZI,ZI,3.389137925062524e-05,-2.1034860660705367e-17,3.389137925062524e-05,0.0001985153262845512,0.00023240670553517645
4.0,exact,8,8,YI,YI,2.9220143218100487e-05,2.1173235008354987e-17,2.9220143218100487e-05,0.00016475768630670105,0.00019397782952480154
4.0,exact,2,2,IY,IY,2.921582757311794e-05,3.095960766897409e-17,2.921582757311794e-05,0.0001647562108084406,0.00019397203838155853
4.0,exact,9,9,YX,YX,1.2464323621702605e-05,2.676588115127649e-18,1.2464323621702605e-05,7.812697658424876e-05,9.059130020595137e-05
4.0,exact,6,6,XY,XY,1.2459867071368979e-05,-1.768180988545493e-18,1.2459867071368979e-05,7.812276005726009e-05,9.058262712862906e-05
4.0,exact,7,7,XZ,XZ,8.406689644111838e-06,9.404099162034376e-18,8.406689644111838e-06,4.978465215419539e-05,5.8191341798307226e-05
4.0,exact,13,13,ZX,ZX,8.403734238682204e-06,2.4690951064839482e-17,8.403734238682204e-06,4.9783522056348e-05,5.8187256295030206e-05
4.0,exact,0,4,II,XI,1.335968892770641e-07,3.7912036807665225e-08,1.388720683197809e-07,1.1717823133259493e-07,2.1708289467598898e-08
4.0,exact,4,0,XI,II,1.3359688924216034e-07,-3.7912036820261174e-08,1.3887206828964166e-07,1.1717823133865997e-07,2.1708289431897942e-08
4.0,exact,1,5,IX,XX,-1.336043954080681e-07,3.677146097334581e-08,1.3857227289205334e-07,1.1717247220932704e-07,2.14007086216313e-08
4.0,exact,5,1,XX,IX,-1.3360439538209663e-07,-3.677146096768875e-08,1.385722728655118e-07,1.1717247219469413e-07,2.1400708609691014e-08
4.0,post_gate_error,0,5,II,XX,0.00022444086128061563,-0.0004446129994044451,0.0004980506193669491,0.07146160806477714,0.07100994409623977
4.0,post_gate_error,5,0,XX,II,0.00022444086128061824,0.00044461299940441734,0.0004980506193669256,0.07146160806477711,0.07100994409623977
4.0,post_gate_error,0,0,II,II,0.00036288951055996055,2.0988550372967882e-18,0.00036288951055996055,0.9846477087882987,0.9850105982988586
4.0,post_gate_error,1,4,IX,XI,-0.00022444086128059438,-7.990641263629068e-10,0.00022444086128201683,0.002424668338789857,0.002200227477510018
4.0,post_gate_error,4,1,XI,IX,-0.00022444086128058354,7.990641550003682e-10,0.000224440861282006,0.002424668338789854,0.002200227477510026
4.0,post_gate_error,1,1,IX,IX,-0.0002179647372842126,-1.1140310389927865e-17,0.0002179647372842126,0.002449701850928985,0.0022317371136447725
4.0,post_gate_error,4,4,XI,XI,-0.00021795358186596893,-2.879925258056314e-17,0.00021795358186596893,0.002449690570803314,0.002231736988937345
4.0,post_gate_error,5,5,XX,XX,-9.502000944164486e-05,1.0634628934284238e-17,9.502000944164486e-05,0.009470290268965877,0.009375270259524232
4.0,post_gate_error,3,3,IZ,IZ,2.3208745843599052e-05,-1.0439888049294688e-17,2.3208745843599052e-05,0.00013836206747606936,0.0001615708133196684
4.0,post_gate_error,12,12,ZI,ZI,2.320704627570985e-05,-7.465101542347507e-18,2.320704627570985e-05,0.0001383600783010502,0.00016156712457676006
