noise_source,noise_title,nbar,sector,mode,slope_per_rate_s,through_origin_relative_fit_residual,centered_R2_for_origin_fit,max_abs_coefficient_per_gate,max_abs_deviation_normalized_to_max_response,resolved_above_1e-7_per_gate
motional_dephasing,Motional dephasing,4.0,H,ZX,5.198532782228055e-11,0.9450704411671851,-1.3600638760263295,1.0283269762796427e-08,0.909004050036067,False
motional_dephasing,Motional dephasing,4.0,H,ZY,-3.2185920517356377e-11,0.9688231666312047,-0.26037784264259933,7.631371761921775e-09,0.9620417804697199,False
motional_dephasing,Motional dephasing,4.0,H,ZZ,-7.299937530008657e-19,0.9999095571668426,-0.16032435350264684,4.3583855614417224e-15,0.9969851479707846,False
motional_dephasing,Motional dephasing,4.0,S,IX,9.762798309883549e-05,0.007461870086844726,0.9998324219066567,0.007000066383990542,0.005344961632591242,True
motional_dephasing,Motional dephasing,4.0,S,IY,4.197414673332406e-11,0.8793751312096716,-0.1516106560231616,6.8595318674334604e-09,0.8898562386178517,False
motional_dephasing,Motional dephasing,4.0,S,IZ,2.4851249820556922e-11,0.9603203530634118,-0.14590663131857817,7.167048225297651e-09,0.9375862303826696,False
motional_dephasing,Motional dephasing,4.0,S,XI,9.762786804046869e-05,0.007461560809658525,0.9998324362959834,0.007000057844431708,0.00534585608095925,True
motional_dephasing,Motional dephasing,4.0,S,XX,8.324008864622442e-06,0.05995899987771597,0.9907320195743173,0.000619322729835482,0.04136230446146308,True
motional_dephasing,Motional dephasing,4.0,S,XY,5.220978846481423e-11,0.9030430812433929,-0.3506662900322388,9.808009861743405e-09,0.9041827847224851,False
motional_dephasing,Motional dephasing,4.0,S,XZ,2.0004661107111825e-11,0.9062766147040849,0.04511885043142261,3.293913698520839e-09,0.8906820478964851,False
motional_dephasing,Motional dephasing,4.0,S,YI,4.054313929326309e-11,0.8423933180917677,-0.2314392434454473,5.7961329518515375e-09,0.8740925176594485,False
motional_dephasing,Motional dephasing,4.0,S,YX,6.150277677662643e-11,0.7334819638795178,0.2750108177919499,6.3715398959489356e-09,0.6525015930032408,False
motional_dephasing,Motional dephasing,4.0,S,YY,7.058320699826681e-12,0.9642288265630315,0.05563885968683724,1.6358869657116457e-09,1.0776641511668326,False
motional_dephasing,Motional dephasing,4.0,S,YZ,3.250140630187151e-11,0.8208499700593467,0.05942508275452141,3.346595532378177e-09,0.8251879237351539,False
motional_dephasing,Motional dephasing,4.0,S,ZI,6.774341556673771e-11,0.724873976630563,-0.3381181588694748,6.917736755798027e-09,0.823731153230243,False
motional_dephasing,Motional dephasing,4.0,S,ZX,3.691732218333247e-11,0.824722841798848,-0.04102684653893185,4.7576125797494945e-09,0.8603266263990387,False
motional_dephasing,Motional dephasing,4.0,S,ZY,4.843022241648191e-11,0.45597926512436576,0.31595748888863806,2.8900969841058263e-09,0.6215302330022802,False
motional_dephasing,Motional dephasing,4.0,S,ZZ,-4.172025122596314e-11,0.7104886346933021,0.07422861167085604,4.608375443455968e-09,0.6740870915221421,False
motional_dephasing,Motional dephasing,4.0,C,"IX,IY",1.4523848574375094e-11,0.9145464608997605,-0.1346477785833693,2.8356319930945753e-09,0.9078056408675763,False
motional_dephasing,Motional dephasing,4.0,C,"IX,IZ",-1.9578653040878e-11,0.9673308220777687,-1.1650869908132284,4.6288151099160206e-09,0.9238648020352237,False
motional_dephasing,Motional dephasing,4.0,C,"IX,XI",9.762785980135367e-05,0.00746122925883995,0.9998324512037408,0.007000058661278327,0.005345618155782259,True
motional_dephasing,Motional dephasing,4.0,C,"IX,XX",2.9458192219702173e-11,0.9726686812453331,0.02370131988572155,8.578186557772629e-09,0.9381865320387341,False
motional_dephasing,Motional dephasing,4.0,C,"IX,XY",1.760400281479058e-11,0.995804183327786,-0.15082076699949742,1.4525848090114265e-08,1.021814358012038,False
motional_dephasing,Motional dephasing,4.0,C,"IX,XZ",-8.469628520554943e-11,0.8342559226901385,0.13333531652144714,9.856425812522054e-09,0.8453259667654524,False
motional_dephasing,Motional dephasing,4.0,C,"IX,YI",2.4073057246650012e-11,0.8296958705287271,-0.9972252879441943,3.2437751841358437e-09,0.8664164420028581,False
motional_dephasing,Motional dephasing,4.0,C,"IX,YX",2.1997867122601985e-10,0.546952411565626,0.46565551395797256,1.6848242595076152e-08,0.5381779491493209,False
motional_dephasing,Motional dephasing,4.0,C,"IX,YY",-7.963522920887381e-11,0.9035722961696847,0.061160020919588165,1.2784219239856678e-08,0.8878747228230577,False
motional_dephasing,Motional dephasing,4.0,C,"IX,YZ",-3.869133090674128e-12,0.9950887643326918,-0.16729063735914695,3.1904051447289107e-09,0.9781706734810158,False
motional_dephasing,Motional dephasing,4.0,C,"IX,ZI",1.722090096983009e-10,0.31042299049421834,0.3289682339348138,1.1402798752516476e-08,0.3519910810048621,False
motional_dephasing,Motional dephasing,4.0,C,"IX,ZX",-8.021343700941027e-11,0.8738225885620405,0.06476917519549796,1.1376787390380991e-08,0.8730887888974576,False
motional_dephasing,Motional dephasing,4.0,C,"IX,ZY",7.1491590841280504e-12,0.9668380341588002,-0.027654191606223844,1.9893783935949837e-09,0.9353140338064294,False
motional_dephasing,Motional dephasing,4.0,C,"IX,ZZ",-8.911629987348753e-11,0.739775501848678,0.07243499575753554,7.517434858914632e-09,0.7866169208209973,False
motional_dephasing,Motional dephasing,4.0,C,"IY,IZ",4.0481893160325626e-11,0.8718872356574769,-0.15850297922886147,6.4080983463253015e-09,0.8862885621436013,False
motional_dephasing,Motional dephasing,4.0,C,"IY,XI",-1.8305353400289438e-11,0.627043502039903,-1.018878134986347,1.2830930894695858e-09,0.649693124898526,False
motional_dephasing,Motional dephasing,4.0,C,"IY,XX",8.677390989365962e-11,0.8500660357241078,-3.643123946084242,8.757177162840903e-09,0.8216399703875387,False
motional_dephasing,Motional dephasing,4.0,C,"IY,XY",-1.3780078517080123e-11,0.9831247357292621,-0.34891466161935636,6.196638397539745e-09,0.9599716172875405,False
motional_dephasing,Motional dephasing,4.0,C,"IY,XZ",2.463468601089023e-11,0.8346228631206847,-0.016565223097047888,2.1808847174193974e-09,0.9190672788199905,False
motional_dephasing,Motional dephasing,4.0,C,"IY,YI",6.497501174019037e-12,0.9794386869362488,0.040283803610490665,1.9845122904588928e-09,0.9224352332290395,False
motional_dephasing,Motional dephasing,4.0,C,"IY,YX",4.318965621938747e-11,0.7875529257117362,0.11935418943796261,4.668704157810126e-09,0.8334840277577958,False
motional_dephasing,Motional dephasing,4.0,C,"IY,YY",-4.8515514467513914e-12,0.9787073570446151,0.007807421917583879,1.4656831775098006e-09,1.0297908604606814,False
motional_dephasing,Motional dephasing,4.0,C,"IY,YZ",2.987507869894983e-11,0.5897742276386475,-2.0676705862027225,1.9661043043266867e-09,0.7197763359223501,False
motional_dephasing,Motional dephasing,4.0,C,"IY,ZI",1.0859738049359046e-10,0.7238348066341659,-0.45232230256705397,1.1123765003299472e-08,0.8242723710627814,False
motional_dephasing,Motional dephasing,4.0,C,"IY,ZX",1.2019910539695497e-11,0.6808756416342143,-12.954198065406235,8.704719160786853e-10,0.8757235094446393,False
