noise_source,noise_title,nbar,rate_multiplier,rate_s^-1,response_frobenius_norm,full_generator_cosine_to_nominal,stochastic_shape_cosine_to_nominal,H_shape_cosine_to_nominal,S_shape_cosine_to_nominal,C_shape_cosine_to_nominal,A_shape_cosine_to_nominal,leading_stochastic_eigenvalue_per_gate,leading_axis_overlap_with_collective_X,collective_X_rayleigh_coefficient_per_gate,collective_X_fraction_of_positive_stochastic_trace,S_IX_per_gate,S_XI_per_gate,C_IX_XI_per_gate,C_IX_XI_over_local_X_mean,C_IZ_XY_over_IZ_XY_S_mean,C_IY_XZ_over_IY_XZ_S_mean,S_IX_over_S_XI,S_XX_per_gate,H_XX_rad_per_gate
motional_heating,Motional heating/diffusion,4.0,0.5,5.0,0.0014281846032500143,0.9999999559226255,0.9999999728206576,0.9999829256949773,0.9999999974115292,0.9999999695458522,0.6541604834679762,0.00022557369845637554,0.9999999926445912,0.0002255736951384616,0.9975654029388882,0.00011278333629689969,0.00011279626163274568,0.00011278389617363894,0.9999476655580742,-0.07282715763812372,-2.876713426441988,0.9998854098916143,4.996049914479587e-07,4.940634549631741e-06
motional_heating,Motional heating/diffusion,4.0,1.0,10.0,0.0028564455667475213,1.0,1.0000000000000002,1.0000000000000002,1.0,0.9999999999999999,1.0,0.0004511549009698661,0.9999999988492871,0.00045115489993158265,0.9976975472111707,0.00022557499131858248,0.00022558000396420545,0.0002255774022901888,0.9999995773017869,-1.0078912673355656,-1.2249598944690159,0.9999777788565702,1.0241292651211077e-06,9.901173078002977e-06
motional_heating,Motional heating/diffusion,4.0,2.0,20.0,0.0057127997667354305,0.9999999882684988,0.9999999926414995,0.9999955751156924,0.9999999992386884,0.9999999909959271,0.35937312130668614,0.0009022754206616163,0.9999999984464427,0.0009022754178582243,0.9976848992958046,0.00045115348108686526,0.0004511257928337777,0.0004511357808979029,0.999991452618873,-0.07592332466736408,0.3487817035597333,1.0000613759034118,2.0324645761636957e-06,1.981235566682511e-05
motional_heating,Motional heating/diffusion,4.0,4.0,40.0,0.011425166137397712,0.9999999897266781,0.9999999938182307,0.9999977877242567,0.9999999996058033,0.9999999916543784,0.25714698571982714,0.0018044945366225947,0.9999999999531257,0.001804494536453483,0.9977296079461854,0.0009022516660434095,0.0009022436089422768,0.0009022468989606403,0.9999991814528826,-1.5104196461426642,-28.50998447351289,1.0000089300728239,4.078414492351978e-06,3.965948324817676e-05
motional_dephasing,Motional dephasing,0.01,0.0,0.0,0.0,,,,,,,0.0,0.7071067811865475,0.0,,0.0,0.0,0.0,,,,,0.0,0.0
motional_dephasing,Motional dephasing,0.01,0.5,9.0,0.0016583206733549202,0.9999999478763704,0.999999977296604,0.9999969646140271,0.9999999927283679,0.9999999913672187,0.3063675348018555,0.00022184388317768983,0.9999999976584786,0.00022184388220812036,0.7332980580489311,0.00011092697162886611,0.00011091659801055304,0.0001109220973884108,1.000002817919868,-0.38200704489103243,-1.5850415196846297,1.000093526293622,8.06608974902941e-05,-4.189072027262121e-06
motional_dephasing,Motional dephasing,0.01,1.0,18.0,0.003314867337826044,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0,1.0,0.00044340601974533246,0.9999999990641895,0.0004434060189174233,0.7332084401003262,0.00022170394046858497,0.00022170242619642217,0.00022170283558491986,0.9999984314723024,2.3400620449724414,3.157333105855966,1.0000068302011338,0.00016131211799942218,-8.215065135471236e-06
motional_dephasing,Motional dephasing,0.01,2.0,36.0,0.006622583804674527,0.9999998652673788,0.9999999323668821,0.9999988926984131,0.999999973752358,0.999999994947752,0.6127688182223445,0.000885698639183627,0.9999999999727719,0.0008856986391354885,0.7330124829079881,0.000442849519645295,0.0004428512651231284,0.000442848246751277,0.9999951549485524,0.5955983974307296,0.06612051425582663,0.9999960585461285,0.000322578921792383,-1.5872102902819617e-05
motional_dephasing,Motional dephasing,0.01,4.0,72.0,0.01321657567487982,0.9999987414581691,0.9999994583102723,0.9999992327328718,0.9999997780578346,0.9999999962770698,0.5072428381248062,0.0017669091131927836,0.9999999998239385,0.0017669091126275437,0.7325986943511095,0.0008834519292024274,0.0008834579644934127,0.0008834541657796241,0.9999991158934604,0.21632763977515912,-31.699578756220276,0.9999931685589718,0.0006448845737282995,-2.9396219523342532e-05
motional_dephasing,Motional dephasing,1.0,0.0,0.0,0.0,,,,,,,0.0,0.7071067811865475,0.0,,0.0,0.0,0.0,,,,,0.0,0.0
motional_dephasing,Motional dephasing,1.0,0.5,9.0,0.004253768409439644,0.999999886119285,0.9999998187854856,0.9999997422134314,0.9999998825264931,0.9999999988734622,0.27636464688285317,0.0006384562354145809,0.9999999999499959,0.0006384562353507366,0.8917122527496578,0.0003192255897554591,0.00031923057880164603,0.00031922815107218413,1.0000002092348226,-2.7759090713124714,-1.1817555208390333,0.9999843716532243,7.74946374621692e-05,-2.0658935188108595e-05
motional_dephasing,Motional dephasing,1.0,1.0,18.0,0.008496527414158904,1.0,0.9999999999999999,0.9999999999999999,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0012749252566766783,0.9999999999318057,0.0012749252565073216,0.891251648182408,0.0006374590041953159,0.0006374656525959823,0.0006374629281116726,1.0000009407866108,-2.6632904885056665,1.989790206730776,0.99998957057429,0.00015552512451406112,-4.098815962873692e-05
motional_dephasing,Motional dephasing,1.0,2.0,36.0,0.016949181884526873,0.9999995565321161,0.9999993015086541,0.9999999541510877,0.999999544716668,0.999999999617999,0.5312182154990144,0.0025419339580432174,0.9999999999950152,0.002541933958017951,0.8903124841829657,0.0012709669362490762,0.0012709666699823085,0.0012709671549022594,1.0000002767865896,-2.5346045390330345,2.9343366923323626,1.0000002094994103,0.00031313345291397406,-8.063186264061199e-05
motional_dephasing,Motional dephasing,1.0,4.0,72.0,0.03372461165624643,0.9999960644338866,0.9999938127941946,0.9999999601099632,0.9999959698950025,0.9999999996942116,0.7087976234564786,0.00505252373701389,0.9999999999943233,0.005052523736956831,0.8884412158510917,0.00252625533613149,0.0025262681840547327,0.0025262619768637207,1.000000085806868,-3.2436419141493587,0.8631187145914796,0.9999949142678819,0.0006343907882023789,-0.00015595874157147725
motional_dephasing,Motional dephasing,2.0,0.0,0.0,0.0,,,,,,,0.0,0.7071067811865475,0.0,,0.0,0.0,0.0,,,,,0.0,0.0
motional_dephasing,Motional dephasing,2.0,0.5,9.0,0.006786993957232444,0.9999997486443367,0.9999995773879815,0.9999999083788566,0.9999996884840575,0.9999999984698351,0.3797678046713475,0.0010412622629121908,0.9999999998295936,0.0010412622625595091,0.9339908064578479,0.0005206173491049447,0.0005206453332687753,0.0005206309213726493,0.9999991936439905,-0.9694211574710027,0.7924679830031067,0.9999462510042011,7.355116296179961e-05,-4.681073743943979e-05
motional_dephasing,Motional dephasing,2.0,1.0,18.0,0.013546885499408384,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0000000000000002,1.0,0.002077553934599231,0.9999999998906866,0.0020775539341513953,0.9332029927499451,0.001038768589086446,0.001038785241768517,0.0010387770187239142,1.0000000994404392,-1.8900918887897662,0.9553803412555675,0.9999839690809983,0.000148668105739339,-9.310828112925933e-05
motional_dephasing,Motional dephasing,2.0,2.0,36.0,0.02698630790007174,0.9999989918206772,0.9999983242027346,0.9999999696468175,0.9999987663601638,0.9999999994550082,0.553045345911262,0.004135406801895181,0.9999999999920628,0.004135406801829683,0.9316127296610532,0.0020676891737472893,0.002067717719777331,0.0020677033550673737,0.9999999556537295,-0.5066119854770995,1.198506469228075,0.9999861944259758,0.0003035361100070808,-0.0001839491886278122
motional_dephasing,Motional dephasing,2.0,4.0,72.0,0.05354960185936898,0.9999911083413542,0.9999851816777661,0.9999999574207523,0.9999891263246709,0.9999999993743138,0.44982751959594897,0.008193305950937584,0.9999999999994702,0.008193305950928903,0.9284745284087795,0.004096645999010851,0.004096659821103309,0.0040966530408718255,1.0000000319321036,-1.7728410721526762,0.8357467911225628,0.9999966260092217,0.0006311560873849957,-0.0003591973845669029
motional_dephasing,Motional dephasing,3.0,0.0,0.0,0.0,,,,,,,0.0,0.7071067811865475,0.0,,0.0,0.0,0.0,,,,,0.0,0.0
motional_dephasing,Motional dephasing,3.0,0.5,9.0,0.00921566099700697,0.9999995764039136,0.9999992762503218,0.9999996012488752,0.9999994460396052,0.999999992582608,-0.005494267314235683,0.0014269536205174405,0.9999999991788578,0.0014269536182277866,0.9542375989963922,0.00071344531836378,0.0007135178795184076,0.000713472019286693,0.9999865733686545,-0.0174800269517146,0.9197541215813145,0.9998983050646515,6.827583190493274e-05,-8.068772479607413e-05
motional_dephasing,Motional dephasing,3.0,1.0,18.0,0.018382917974553496,0.9999999999999999,0.9999999999999998,1.0,1.0,0.9999999999999998,1.0,0.0028450499167216163,0.999999999977024,0.0028450499165911087,0.953221532585549,0.0014225386881565579,0.001422510797497134,0.0014225251737642634,1.0000003029384337,-0.4070121874042317,-0.08414278573181143,1.0000196066416318,0.00013954491265465513,-0.00016063831638847122
motional_dephasing,Motional dephasing,3.0,2.0,36.0,0.03657464815603356,0.9999982966482697,0.9999971506008564,0.9999999931327096,0.9999977845437094,0.9999999997796485,0.3185503859758562,0.005654892875808186,0.9999999999791029,0.005654892875575105,0.9510660779062773,0.002827451815375224,0.002827440772636129,0.00282744658156943,1.0000001017044087,-1.4137205547448826,0.6678197528753773,1.0000039055598269,0.0002908960424356593,-0.0003180933697625905
motional_dephasing,Motional dephasing,3.0,4.0,72.0,0.0724012130693314,0.9999849410436145,0.9999748161559637,0.9999999969740118,0.9999804961934257,0.9999999998842901,0.49978543668201614,0.011171989485229655,0.9999999999972784,0.011171989485169096,0.946812083791624,0.0055860145920472,0.005585976054646877,0.0055859941618220605,0.9999997920648138,-1.889002226266011,0.901977879940642,1.0000068989555175,0.0006274748763772588,-0.0006235837156915715
motional_dephasing,Motional dephasing,4.0,0.0,0.0,0.0,,,,,,,0.0,0.7071067811865475,0.0,,0.0,0.0,0.0,,,,,0.0,0.0
motional_dephasing,Motional dephasing,4.0,0.5,9.0,0.011539836893212505,0.9999993722812137,0.999998978919659,0.999999985916219,0.9999991675986011,0.9999999988635351,0.22404726260328806,0.0017961195395797586,0.9999999999359427,0.0017961195393496501,0.9668524930107105,0.0008980650501832375,0.0008980551259914785,0.0008980594512622923,0.9999992908881331,0.5077304161501041,-1.7557692254040274,1.0000110507601057,6.155701024631239e-05,-0.00012078285838174743
motional_dephasing,Motional dephasing,4.0,1.0,18.0,0.02300645190580616,0.9999999999999998,0.9999999999999999,1.0,0.9999999999999998,1.0000000000000002,0.9999999999999998,0.0035787028171725744,0.9999999999309561,0.0035787028166793665,0.96550365175287,0.001789360518638585,0.0017893514822535195,0.0017893468162333147,0.9999948673082745,-1.3422430626671251,-0.3074730492862035,1.0000050500894626,0.00012776855862290323,-0.0002404445652213621
motional_dephasing,Motional dephasing,4.0,2.0,36.0,0.045723884511019115,0.9999975167148863,0.9999958816544444,0.9999999786315936,0.9999966856644517,0.9999999995043081,-0.029920348360713667,0.007104046108084477,0.9999999999974716,0.007104046108048848,0.9628515027539173,0.0035520224778060987,0.0035520245512515947,0.0035520225935200024,0.999999740708686,-1.8340614144932579,-31.95189786966397,0.9999994162637487,0.00027404770381504826,-0.00047657524080829846
motional_dephasing,Motional dephasing,4.0,4.0,72.0,0.09032119004398202,0.9999781435335007,0.9999636977807852,0.9999999801214056,0.9999709574852061,0.9999999995728905,0.4467489982303828,0.014000120775557765,0.999999999997544,0.01400012077548945,0.9576338159773968,0.007000066383990542,0.007000057844431708,0.007000058661278327,0.9999995067282631,-0.46772430264539705,0.7363033627313461,1.0000012199268953,0.000619322729835482,-0.0009360141361567686
spin_dephasing,Spin dephasing,0.01,0.0,0.0,0.0,,,,,,,0.0,0.7071067811865475,0.0,,0.0,0.0,0.0,,,,,0.0,0.0
spin_dephasing,Spin dephasing,0.01,0.5,1.6666666666666667,0.0007222919150950581,0.9999999041756767,0.9999997144942463,0.10717117611795651,0.999999995726221,0.9999975765401214,0.27113077989489065,4.095289130906574e-05,0.00014079414813907836,8.988726028480263e-09,5.393229298522069e-05,-4.701851676489825e-10,7.824761140244607e-09,5.311438042182452e-09,1.4443900129589402,0.3401323213100591,-0.5913134264431209,-0.06008939560221313,9.75200088818249e-09,-1.4542689405094126e-10
spin_dephasing,Spin dephasing,0.01,1.0,3.3333333333333335,0.0014446139576511968,0.9999999999999998,0.9999999999999998,1.0,0.9999999999999998,1.0,1.0,8.191850772804446e-05,6.025802596128716e-05,9.320472518052395e-09,2.79612875647771e-05,-1.5159520625772686e-09,7.98221245159903e-09,6.087342323541516e-09,1.8828014825621429,0.3401292406808532,-0.5922477578244028,-0.18991627594096255,4.807056182119405e-09,7.868394060439058e-09
spin_dephasing,Spin dephasing,0.01,2.0,6.666666666666667,0.0028892784838443356,0.9999999773959815,0.9999999384563576,0.6095889006494719,0.9999999995721657,0.9999994798725552,0.6175677066535104,0.00016380598666481807,3.6541725589763696e-05,4.5419631909770395e-09,6.812839982913179e-06,-4.990255007654497e-09,1.894550629821367e-09,6.089815379893605e-09,-3.9343649371043847,0.3399037770885942,-0.5921824706395336,-2.6340045650429604,7.1619640532175944e-09,1.993595035929166e-08
spin_dephasing,Spin dephasing,0.01,4.0,13.333333333333334,0.005778548142671376,0.9999999608300076,0.9999998838779118,0.422902455148611,0.9999999982299147,0.9999991016712317,0.17652572047715306,0.00032760252653970666,4.526465563423602e-06,-1.5486059596594712e-08,-1.1614293548539232e-05,-1.7584257952643146e-08,-2.5792805879120122e-08,6.202472319286917e-09,-0.2859793527447147,0.33987577953307746,-0.5920369063998918,0.6817504863586017,1.5882111964208244e-08,9.124124522564585e-08
spin_dephasing,Spin dephasing,1.0,0.0,0.0,0.0,,,,,,,0.0,0.7071067811865475,0.0,,0.0,0.0,0.0,,,,,0.0,0.0
spin_dephasing,Spin dephasing,1.0,0.5,1.6666666666666667,0.0007166101649924063,0.9999998178605165,0.9999994192986061,0.08549975165820453,0.9999999858993097,0.999996249107692,0.046515929392857445,3.5272151609856814e-05,0.00013246154442405627,7.0821812967007166e-09,4.2490909134894545e-05,-2.269256047855066e-09,7.46150101115154e-09,4.48605881505248e-09,1.7279842714525366,0.3558832379796038,-0.545141491437968,-0.30412862565636106,2.07035266776136e-08,1.840422332329159e-09
spin_dephasing,Spin dephasing,1.0,1.0,3.3333333333333335,0.0014331864068157418,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,7.053162538187396e-05,3.0413410807484006e-05,5.2956166036741825e-09,1.5887024263744848e-05,3.95179166682967e-09,2.903574884989394e-09,1.8679333277646514e-09,0.5449550548887856,0.3556687987269347,-0.5449131900581233,1.3610090400145145,1.052716673212003e-08,-1.3812577383778737e-10
