noise_source,noise_title,nbar,matrix_family,through_origin_relative_fit_residual,slope_frobenius_norm_per_nominal_multiplier,max_point_relative_deviation
motional_heating,Motional heating/diffusion,4.0,full_generator,6.856223065832677e-05,0.0028563200855706706,0.00035528807412308174
motional_heating,Motional heating/diffusion,4.0,stochastic_SC_matrix,6.196831904650102e-05,0.00045112918536024466,0.0002817717815255913
motional_heating,Motional heating/diffusion,4.0,H_sector,0.0013162991751125505,5.6071860666097214e-05,0.007146026802105155
motional_heating,Motional heating/diffusion,4.0,S_sector,2.05757990873043e-05,0.002213397241506091,8.476565393247907e-05
motional_heating,Motional heating/diffusion,4.0,C_sector,6.894848535940408e-05,0.0018045158824418225,0.0002950518072014866
motional_heating,Motional heating/diffusion,4.0,A_sector,0.8018299003307657,9.527241749335446e-08,0.9266043353322156
motional_dephasing,Motional dephasing,0.01,full_generator,0.0012107661548180092,0.003306140605802578,0.0035401074282782156
motional_dephasing,Motional dephasing,0.01,stochastic_SC_matrix,0.0011981690373693826,0.00047052950422876353,0.0034949139231497794
motional_dephasing,Motional dephasing,0.01,H_sector,0.03899362471872758,4.249662367555353e-05,0.10336213349912632
motional_dephasing,Motional dephasing,0.01,S_sector,0.0010261745402102495,0.0027932726763226184,0.002992528609554958
motional_dephasing,Motional dephasing,0.01,C_sector,0.0012723590316675705,0.0017681602730190047,0.003717095086530873
motional_dephasing,Motional dephasing,0.01,A_sector,0.5095841665685672,8.826002923272795e-08,0.8362301477604062
motional_dephasing,Motional dephasing,1.0,full_generator,0.002752655421041924,0.008443300840616855,0.008034401648648807
motional_dephasing,Motional dephasing,1.0,stochastic_SC_matrix,0.0031935144636202565,0.0012751531480994839,0.009314663810932168
motional_dephasing,Motional dephasing,1.0,H_sector,0.01694812206769648,0.00022265812840153396,0.047372225468259185
motional_dephasing,Motional dephasing,1.0,S_sector,0.0024657950027466864,0.006754481855729496,0.0072026008989114175
motional_dephasing,Motional dephasing,1.0,C_sector,0.003114896257568772,0.005061295531668029,0.009078872457827642
motional_dephasing,Motional dephasing,1.0,A_sector,0.7742740286696749,4.357910741977963e-08,0.9500610315437683
motional_dephasing,Motional dephasing,2.0,full_generator,0.004212159944880808,0.013416993957507853,0.012274926285258581
motional_dephasing,Motional dephasing,2.0,stochastic_SC_matrix,0.004961550896641279,0.002059675522234045,0.014440325848529207
motional_dephasing,Motional dephasing,2.0,H_sector,0.012143748703730245,0.0005114332838845616,0.03431109224515503
motional_dephasing,Motional dephasing,2.0,S_sector,0.003812625130267779,0.010595649940183253,0.01112743082895291
