n_bar,noise_source,observable,leave_one_out_all_minus_without,isolated_only_minus_none
1.0,photon_scattering,chi_XX_XX,-9.175906035240045e-07,-8.68815082596475e-07
1.0,photon_scattering,abs_chi_II_XX,-2.0090347485676036e-05,-2.014326683527981e-05
1.0,photon_scattering,chi_IX_IX,2.4234256859795517e-05,2.487476612150023e-05
1.0,photon_scattering,chi_XI_XI,2.4237837110781387e-05,2.4882084490892686e-05
4.0,motional_heating,chi_XX_XX,1.0811162436067528e-06,-1.092046611682676e-06
4.0,motional_heating,abs_chi_II_XX,-1.5494525231335432e-05,-2.1210198026158644e-05
4.0,motional_heating,chi_IX_IX,0.00022149765773349372,0.00022459235464121783
4.0,motional_heating,chi_XI_XI,0.00022151025831799965,0.000224591187625412
4.0,motional_dephasing,chi_XX_XX,7.312156469928624e-05,7.094699679181977e-05
4.0,motional_dephasing,abs_chi_II_XX,-0.00047155703431947527,-0.00047776064430075926
4.0,motional_dephasing,chi_IX_IX,0.001765658200537771,0.001770438507005544
4.0,motional_dephasing,chi_XI_XI,0.0017656760234265596,0.0017704146688250157
4.0,spin_dephasing,chi_XX_XX,-3.106922048140212e-06,-3.131349721734178e-06
4.0,spin_dephasing,abs_chi_II_XX,-2.3854548114571328e-05,-2.4004152717221894e-05
4.0,spin_dephasing,chi_IX_IX,-7.755055366600108e-07,-1.317216799531589e-07
4.0,spin_dephasing,chi_XI_XI,-8.051935747018305e-07,-1.458860335906329e-07
4.0,photon_scattering,chi_XX_XX,-6.455093218470098e-06,-6.535009364896233e-06
4.0,photon_scattering,abs_chi_II_XX,-5.0003424719391454e-05,-5.0389030069347696e-05
4.0,photon_scattering,chi_IX_IX,2.3198033627836942e-05,2.4699286064546768e-05
4.0,photon_scattering,chi_XI_XI,2.3203338640920713e-05,2.466257585651124e-05
10.0,motional_heating,chi_XX_XX,-3.7274782101748283e-06,-7.5491782587922e-06
10.0,motional_heating,abs_chi_II_XX,-3.7149723182305916e-05,-4.263043479757478e-05
10.0,motional_heating,chi_IX_IX,0.0001952400088055953,0.00020036297619150008
10.0,motional_heating,chi_XI_XI,0.00019519739290596323,0.00020037666961292538
10.0,motional_dephasing,chi_XX_XX,-0.0004657183137801238,-0.0004702534848431625
10.0,motional_dephasing,abs_chi_II_XX,-0.0017582712883127682,-0.0017656071088633651
10.0,motional_dephasing,chi_IX_IX,0.003587691108388807,0.0035965623031610603
10.0,motional_dephasing,chi_XI_XI,0.0035877310017588893,0.00359649880091124
10.0,spin_dephasing,chi_XX_XX,-1.33837267469461e-05,-1.3617369867671703e-05
10.0,spin_dephasing,abs_chi_II_XX,-4.773610098934844e-05,-4.844972749565302e-05
10.0,spin_dephasing,chi_IX_IX,-1.5069018664366426e-06,-2.2964653325285248e-07
10.0,spin_dephasing,chi_XI_XI,-1.487518915484036e-06,-2.8529260479774696e-07
10.0,photon_scattering,chi_XX_XX,-2.787725543563352e-05,-2.8461237857747845e-05
10.0,photon_scattering,abs_chi_II_XX,-0.00010022776870774464,-0.00010163028441820265
10.0,photon_scattering,chi_IX_IX,2.1604610998005383e-05,2.4415853537221115e-05
10.0,photon_scattering,chi_XI_XI,2.1601576056301183e-05,2.439881238802048e-05
20.0,motional_heating,chi_XX_XX,-1.3446126584340523e-05,-1.8510816598427127e-05
20.0,motional_heating,abs_chi_II_XX,-5.238001809074189e-05,-5.737607645558973e-05
20.0,motional_heating,chi_IX_IX,0.00016376104155972626,0.00017017024062460236
20.0,motional_heating,chi_XI_XI,0.000163753954550175,0.00017016511430757546
20.0,motional_dephasing,chi_XX_XX,-0.002004243266071626,-0.002011698091037739
20.0,motional_dephasing,abs_chi_II_XX,-0.003829668326650437,-0.0038385440970387097
20.0,motional_dephasing,chi_IX_IX,0.005621255462010657,0.005633584460118221
20.0,motional_dephasing,chi_XI_XI,0.005621250907589437,0.005633571043996727
20.0,spin_dephasing,chi_XX_XX,-3.607904197404366e-05,-3.6957275594079464e-05
20.0,spin_dephasing,abs_chi_II_XX,-7.52187056494158e-05,-7.633572667950506e-05
20.0,spin_dephasing,chi_IX_IX,-2.2378429384633733e-06,-3.256807330953484e-07
20.0,spin_dephasing,chi_XI_XI,-2.2537796512834413e-06,-3.397647077988449e-07
20.0,photon_scattering,chi_XX_XX,-7.566619696780519e-05,-7.754001606191663e-05
20.0,photon_scattering,abs_chi_II_XX,-0.00015769447536267966,-0.00016033537389070762
20.0,photon_scattering,chi_IX_IX,1.9929620333715946e-05,2.428152468848463e-05
20.0,photon_scattering,chi_XI_XI,1.9946864595742943e-05,2.4273590217378013e-05
